This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Mike Miller,1631BTK8,49.74
Laura Garcia,MZYGQW26,39.61
Tom Martinez,Z3932US1,108.06
Sophia Johnson,9B992TUX,125.21
Emily Garcia,XJ4C1TLL,117.66
Laura Brown,V8XLG7DW,114.54
John Davis,G0KDW02T,128.21
Alex Wilson,6YXQWS4Q,67.15
Jane Martinez,W235UEMF,131.89
Alex Williams,RGOIRV53,120.93
Anna Johnson,TNSQ5XG7,90.16
Chris Martinez,RYFJKV2O,53.49
Jane Jones,IAI76O0I,53.67
Emily Johnson,N61W3ZC0,35.01
Sophia Davis,PPJPW3KY,48.23
Laura Johnson,EYEEY40A,120.4
John Brown,YU85LYKY,36
Tom Garcia,H0KY27E3,99.68
Laura Smith,RAKF1SG5,30.25
Tom Davis,WVSR8R0W,114.66
Anna Smith,8E2SWJQG,111.07
Tom Wilson,P8OQC6EZ,80.71
Mike Jones,2KK2K9B3,122.66
John Brown,VX5W18VD,94.31
Sophia Smith,6HVI05O6,125.32
Jane Jones,VBMIELKN,69.2
John Miller,BGP6NXUE,67.95
Chris Wilson,JRMFQ9N3,22.26
Jane Johnson,VNJEHTSU,90.71
Tom Davis,M7MUU1KS,49.12
Sophia Jones,3TP0FRZJ,120.88
Sophia Brown,90G4R422,58.91
Jane Johnson,CW0GRUYY,50.86
Anna Wilson,EW4PRPEF,109.02
Anna Davis,LKA6RKVI,112.26
Anna Martinez,V06PU0NF,111.96
John Wilson,3OL1J6JS,126.98
Mike Jones,Y9LTT262,15.77
Chris Williams,34ZNY6C2,126.1
Sophia Martinez,GEHLEW5K,77.38
Chris Martinez,M0BIHYZU,59.67
Jane Wilson,FN9AM663,51.5
John Smith,PM5Z37ZM,84.1
John Johnson,KTM18114,55.41
John Johnson,T3KJ4R92,30.32
Tom Davis,LG7VMQJY,22.17
Anna Smith,DPOZWJX0,106.32
Alex Smith,FZJ0QITP,127.02
Alex Jones,E4ZE4BLH,113.75
Anna Garcia,BRAWMHA9,49.17
Emily Garcia,N3DK5KD3,26.14
John Garcia,LLX9HOCH,106.17
Anna Davis,ZX5JTAI1,70.43
Tom Wilson,29D1UQKP,40.54
Laura Wilson,YFKOSQHT,108.3
Mike Davis,U7ON68Q2,120.02
John Martinez,2PZNK9QA,122.96
Laura Miller,683ZUNYT,92.5
Chris Brown,ROWXZ22U,85.49
Mike Wilson,PA1HAA8R,57.6
Chris Miller,HRGQYREA,48.1
Tom Martinez,VQ4I2RAW,30.25
Anna Williams,32CNYNY1,97.52
Chris Jones,DCEMXTXU,130.87
Jane Jones,HHWJZKOE,56.43
Sophia Wilson,ZJ0DLD64,119.77
Sophia Garcia,WUTF86YC,124.78
Alex Smith,QH2DCVVY,44.68
Laura Smith,P3DPKK9I,65.31
Alex Davis,O6NOJ39W,122.66
Chris Johnson,L4LLXIT0,50.33
Emily Davis,IFR4D7IK,74.39
Laura Davis,D3K8918B,127.19
John Smith,AZXF487Q,15.5
Jane Williams,0HRZ8NO9,120.68
Mike Miller,6JK8O5VE,80.62
Anna Davis,1W6NKV8M,47.08
Sophia Jones,741C6TPB,38.09
Alex Garcia,R8B6WRCM,95.52
Anna Johnson,GYPWWR7P,33.05
Emily Smith,43VPO4HZ,81.99
Mike Miller,FCDR6GAG,96.07
Laura Garcia,YYC8CBFQ,14.32
Chris Jones,O7YLZ7JF,73.66
Tom Garcia,9POWIXO8,56.14
Chris Williams,VQK5AMHJ,87.37
Jane Davis,JBAQM43P,39.21
Sophia Brown,N1GZB3JI,123.77
Chris Garcia,6CSZAIP4,120.95
Sophia Jones,SSDCX7WF,13.47
Jane Smith,MTJI9TVR,70.43
Alex Johnson,QWS2J01T,95.38
Alex Davis,9AR0KM9J,71.72
Laura Smith,3MQ02MQR,102.22
Alex Garcia,8N7DG5N7,48.6
Chris Martinez,JV4MFOUY,29.31
John Wilson,80P0T3TG,77.22
Anna Brown,6XHG8X2M,46.08
Tom Martinez,7UM1T4O6,30.42
Alex Jones,GRIPTF95,71.6
Emily Garcia,N23UWLBR,32.39
Anna Martinez,A41B9Z4M,33.93
Mike Garcia,4LWOE4EV,14.99
Jane Wilson,PXGWSX94,121.29
Chris Jones,WMBM4JFL,117.08
Alex Garcia,B78H1F50,106.05
Mike Jones,7JXWMPF7,70.31
Tom Johnson,WYJ85LEY,108.64
Alex Miller,6K624U0T,17.74
Sophia Davis,4PF9SV9S,111.54
Tom Williams,RN0CT630,135
Laura Miller,MDSE19Q1,29.94
Chris Jones,KBFXD9U3,96.91
Jane Brown,YUMZJGA3,83.37
Chris Williams,8K0FKSHD,20.6
Mike Martinez,1KM9COG2,16.11
Anna Garcia,70SE0HDJ,45.58
Alex Davis,4JIC3AZB,111.49
Anna Williams,2WN948KB,63.97
Emily Jones,F4X0AZ1E,14.96
Chris Martinez,LVYCC071,58.85
John Jones,2D5N14JC,68.54
Tom Smith,BBDXN70Q,31.04
Emily Jones,BFQH9ISO,93.32
Mike Brown,V1DI94OW,121.42
Emily Davis,72B97YDE,49.06
Laura Miller,EQGMFEAR,114.81
Laura Brown,JOYXU6FZ,28.08
Alex Williams,L8RPA0M9,31.13
Tom Jones,YST1ALUA,97.62
Mike Garcia,WP0B09T6,82.88
Alex Jones,UK4C40SO,111.86
Alex Williams,HN5BNSS7,14.5
Emily Smith,O1N5Z8VC,81.06
Alex Brown,QENGGB17,55.26
John Johnson,8ANYH808,56.81
John Davis,DICIC9UV,74.99
Anna Martinez,0WK9JT92,24.33
Jane Johnson,ISCC23YJ,61.14
