This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Mike Williams,3QBTU5HY,30.06
Jane Martinez,EYC35ABN,69.57
Laura Brown,LCD0XX20,31.47
Chris Smith,SC1GTJHU,20.41
Tom Johnson,B0RYZX68,33.5
Jane Miller,5YFTH9OA,86.09
Sophia Martinez,QQZHWGN1,78.19
Laura Garcia,ZV0OWRDA,128.52
Jane Garcia,5MVMR5Z2,78.16
Alex Davis,3R950ZGL,115.27
Tom Wilson,LG21QJO9,72.31
Laura Brown,DF45NIKA,134.62
Laura Smith,FWO0LY4L,83.27
Anna Miller,MO2V98Y9,66.84
Emily Johnson,EE4W1RCQ,64.11
Emily Williams,Q8DRNJD7,72.45
Emily Wilson,A6ZLTCAK,117.29
Mike Johnson,K8JKI3JY,29.06
Tom Davis,8IR36GG6,58.5
Tom Garcia,5DHECT42,83.11
Chris Brown,HHD0BV3O,128.53
Chris Smith,IJISFRFC,89.08
Anna Johnson,6DYQOCYK,75.38
Laura Brown,DUAHQ212,57.87
Mike Miller,HRLN763P,123.49
Chris Smith,RKU5LCOW,40.36
Chris Miller,2UDIS1AM,17.89
Alex Miller,10NOC3MQ,119.07
Anna Davis,ODHPCRTF,13.45
Chris Smith,ALCN98ZY,88.58
Laura Miller,OHP9QV3Y,87.98
Sophia Brown,RYMB514H,41.72
John Smith,LL392XCR,14.34
John Miller,TDYNL1DW,41
Emily Martinez,I583X0WB,31.81
Sophia Martinez,TTUE24GY,31.51
Anna Jones,YWCYCNVQ,72.48
Jane Williams,YC99U7QJ,125.8
John Williams,AWAJICSH,54.03
Laura Johnson,QMTHRWX7,95.96
Sophia Garcia,VCSQ6LNC,71.97
Sophia Garcia,ARPUDWJN,29.18
Mike Brown,1F5G6IBY,95.59
Chris Williams,PHWOJTKI,115.77
John Johnson,KHO2VX52,101.78
Emily Brown,KLLY6412,66.76
Sophia Garcia,662BEBDM,31.35
Laura Jones,QUD8LQ24,95.04
Chris Miller,VWT6ZOJU,97.71
Anna Garcia,C14HQPQK,40.59
Laura Johnson,DLGQ6RWM,99.94
Tom Smith,UKXNVDRD,43.73
Anna Martinez,NPLNI013,99.85
John Brown,7XZHX7IR,37.68
Chris Brown,ACZABQGF,65.96
Emily Jones,6RO25F7R,27.38
Alex Brown,WO217134,17.32
John Johnson,0X0DPKQH,45.09
Tom Williams,QIHU5OJ4,71.39
John Williams,KS6X7T77,70.63
Jane Davis,7QOEVR8T,88.75
Alex Garcia,5CMCMSXF,34.21
Tom Martinez,UC4N6LQG,43
Anna Wilson,TKTIAANN,66.53
John Johnson,TJK3QXZZ,58.16
Alex Johnson,GGNPB5W1,57.78
Emily Smith,U4MR7KGY,62.77
Sophia Garcia,4S43HC0S,97.74
Tom Williams,O8INDH7Z,29.89
John Martinez,6DME0NUH,106.71
Anna Smith,O8D6RMKY,91.75
Mike Wilson,J01GTJ4L,118.61
Sophia Davis,BEBZPMWI,15.52
John Davis,2RG7AXZ0,58.49
Laura Garcia,58B583BR,29.88
Alex Brown,VGVUAWXR,59.25
John Martinez,A69G6LLZ,113.28
Alex Williams,8TIUAF4R,38.02
Anna Martinez,JPJ5PD0Y,56.38
Anna Davis,E7RZT2TF,83.01
John Johnson,MI7O6Q5G,88.02
John Johnson,8E6JHOCM,92.88
Mike Martinez,O1IRV2HG,115.27
Tom Smith,7LNC4F31,123.63
Laura Miller,NQZ8HXL6,48.73
John Martinez,X6V1WR6N,81.2
Tom Jones,83QGXHG3,98.84
Anna Smith,4E6WY9UZ,15.92
John Davis,DC9ODTVV,44.44
Emily Jones,C263SNWP,110.47
Emily Wilson,TWPWJUDR,98.61
Mike Jones,5DI1WACG,130.9
Jane Jones,G111XWSE,82.15
Laura Martinez,T6AO5BNN,29.73
Anna Garcia,LSGBPFLM,46.74
John Smith,5H7YGRLF,81.34
Anna Jones,EZJTGC3D,98.77
Mike Jones,MCD2R1HL,86.55
Laura Johnson,VOG8NEMO,31.75
Laura Davis,2ZTEMMXC,39.38
Tom Davis,GB5JYJ97,81.55
Mike Miller,GHQ6XTGR,76.67
Chris Johnson,NLDZQPGS,95.76
Emily Jones,LWYWFA68,28.09
Emily Miller,4XO2GV4G,131.46
Chris Smith,E1H3D7ZI,122.47
Sophia Wilson,0P5RB300,135.41
Mike Garcia,EGV7PUMA,65.67
Alex Jones,EZOUKRPB,61.03
Emily Jones,GQ7ZGP87,48.13
Laura Davis,P6EMMBRM,87.1
John Garcia,E4NT404R,129.92
Sophia Johnson,0ERP8W38,37.26
Emily Martinez,CW420XST,40.78
Alex Davis,RVM6NHY9,115.32
Sophia Smith,0FRQKZWH,106.43
Mike Johnson,FHQ643RN,23.98
John Johnson,QYOW8YQO,128.86
Mike Miller,XKMG02UA,19.38
Mike Brown,XBXAFP0R,65.27
Tom Davis,C7EFL1ZE,32.57
Mike Martinez,TOUMKQ4M,94.7
Alex Davis,A7N4MO64,71.76
John Garcia,YFBYO1XS,97.37
John Martinez,KAL0WTYT,105.89
Anna Garcia,EW34K80S,70.62
Chris Smith,KNGXDDZG,72.74
Mike Martinez,FFOHQG1I,119.21
Mike Garcia,8WKKKRYE,66.32
Alex Davis,JRRAFW7S,132.17
Emily Garcia,FAPJZDD9,40.11
Sophia Williams,IE9DPVNQ,94
Jane Wilson,9IU8SYQC,96.86
Sophia Martinez,R424X58C,46.82
Emily Garcia,AF8C66FG,96.17
Tom Wilson,N4VT6WVN,43.85
Laura Wilson,W8ZA7FYY,123.9
Jane Williams,GDG803IT,103.72
Laura Smith,R9FOCZSW,102.15
