This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Chris Brown,FUK44XTM,121.71
Alex Brown,22R4N34E,86.12
Tom Martinez,5NU0I6LX,117.94
Emily Miller,KYN9C1FI,40.55
Tom Miller,MDMXB2R2,52.53
Alex Jones,ANM4DJRP,47.79
Sophia Johnson,DWBHYHDX,99.2
Mike Miller,H5131RAE,101.45
Sophia Johnson,028D5E34,109.63
Anna Smith,P99IJTW8,113.81
Alex Wilson,0PQA27ND,84.31
Sophia Brown,82NJJZIY,50.96
Sophia Miller,OG2GVAZ8,71.96
Emily Miller,P5MOSOEV,34.49
Mike Smith,83XOCZO1,102.57
Mike Jones,Z4BIXEYJ,21.55
Alex Miller,8LK9RGDB,50.56
John Jones,PLT5OC2E,42.08
Chris Johnson,YZZV0AEB,135.22
Laura Davis,D0HCSML2,125.27
John Miller,GUDKV23Q,45.27
Laura Garcia,UBPDD6TT,41.29
Anna Davis,D9F6V1G9,60.94
Alex Garcia,ZPRKITPQ,29.63
John Davis,Y6DIFZD5,114.34
Emily Williams,D5CYDUWV,94.98
Mike Williams,MKOOLSIM,105.27
Emily Martinez,IEBWYWUP,52.83
Mike Brown,NFSWPC57,28.88
Alex Miller,4NGQJG0W,130.11
Chris Martinez,GLZXFDX9,31.42
Alex Johnson,4UD0PXHY,50.16
Laura Jones,PE9383WR,86.13
Anna Brown,C8QUF2M0,125.77
Emily Jones,CZ2V5JTN,70.04
Sophia Wilson,EBUOST9J,64.51
Chris Davis,HYXC2A3Y,88.62
John Jones,6YS3S34A,45.66
John Davis,R4TYHNRF,67.46
Chris Jones,0LM18UUH,95.53
Jane Jones,TJENI2RD,81.82
Sophia Davis,UECRI6GK,89.35
Anna Johnson,YCEESXT9,45.68
Laura Wilson,H11RU6D7,116.04
John Brown,HAE23XKW,55.04
Chris Smith,8M8MFUKI,55.9
Laura Miller,ZUYHI4K7,86.94
Mike Williams,6KQLM2EY,39.35
Chris Jones,SEXMFDN4,70.63
Jane Davis,40WJEFJA,61.23
Sophia Williams,SXIWPT7T,37.54
Alex Johnson,WZOTIYDW,36.6
Emily Martinez,46RE3P0D,22.99
Jane Wilson,4CFTOWNU,85.97
Alex Wilson,79916YTW,120.43
John Brown,XEMCIQUM,55.08
John Williams,IVJLPVXF,97.03
Anna Smith,AJ07J7T3,130.13
Tom Davis,L55OQLEV,38.2
Mike Brown,AXUIXR98,121.68
Mike Wilson,7CNAN9JL,73.65
Alex Smith,OWCOG8LN,114.49
Chris Miller,O7HQFKA5,92.29
Chris Johnson,U3RFTXVY,19.45
Laura Davis,VV5Q3SNK,53.51
Laura Martinez,154Z3XB5,66.28
Chris Jones,6Z6VTATA,98.35
Alex Brown,WB0S61YN,66.71
Chris Martinez,A3VOAHSC,113.78
John Miller,7JLUTGJW,91.53
Sophia Wilson,N32HMF9H,109.91
Emily Jones,XSTF6OMW,123.64
Tom Miller,995GM4DZ,79.23
Chris Martinez,I3XL4BHW,28.76
Mike Smith,AOTL4NOI,41.76
Alex Davis,5KSLNE2F,120.42
Anna Miller,M0DLYEX2,133.7
Emily Johnson,CVETMCUZ,61.41
Sophia Williams,A0I0ITBC,37.24
Tom Miller,2QK5DTAG,102.38
Emily Williams,8U6D8XT7,52.5
Laura Miller,5BGPZF45,51.8
Jane Miller,4PVJ8TFK,87.11
Tom Wilson,NXE1J2T1,130.28
Jane Johnson,XTXKW2BE,93.61
Tom Williams,BKM30B77,26.78
Anna Davis,9SVWFF73,37.29
Anna Jones,DL0FX4EV,108.11
John Garcia,LMWPTFB8,130.12
Emily Garcia,TZFBCSV4,26.39
Alex Miller,G5V2D371,125.49
Emily Williams,N30PFRI5,71.88
Sophia Miller,1VOXMEBK,36.56
Sophia Martinez,PTLDUQXY,94.32
Anna Wilson,RJ1JYKD2,71.26
Mike Davis,G525GHXQ,96.66
John Wilson,E5ZK95TX,46.43
Sophia Garcia,TIC1BNTC,125.98
Mike Davis,GY9QWAO0,26.24
Anna Smith,MEPONVY2,82.22
John Martinez,UAHWJQSV,118.52
Chris Williams,RMGR8IRM,75.59
Chris Jones,474CJHJT,85.45
Anna Davis,F4I4DSWH,107.39
Sophia Martinez,YBGC3DUC,120.48
Tom Jones,6SY523YU,42.78
Laura Williams,E6ERYW2I,106.95
Chris Davis,FP3H2ZGN,129.31
John Wilson,FP21ZVQR,108.62
Jane Davis,Z9IJALG6,74.91
Jane Jones,TYQZ70P5,21.26
Tom Garcia,V07NHHO6,43.99
Laura Garcia,F7CL1ZPU,98.86
Laura Johnson,0ORXTWJ3,92.27
Mike Wilson,3PF2AHIJ,64.09
Mike Johnson,2GEA7YP2,92.2
John Davis,UCEE9ZMY,79.59
Tom Williams,SMSA3JYM,126.58
Alex Wilson,FGLGCD5N,27.08
Tom Martinez,4DRPNS1Q,112.08
Laura Wilson,4XFNCYCT,123.34
Laura Brown,ZX4KRZYM,28.43
Alex Williams,LUG4TXL5,71.96
Mike Miller,C7R3NVLZ,33.16
Sophia Miller,X86RS9KA,31.29
Chris Brown,2E7ZSPZX,71.24
Laura Williams,WPTT1BRJ,14.06
Alex Davis,L98NAGLU,114.3
Jane Garcia,7F9T5GHY,58.98
Alex Garcia,HV020PCQ,21.11
Anna Jones,PY7EUXIN,42.83
Anna Davis,WDEVC2KG,24.42
Chris Garcia,B9TKVIMK,56.35
Alex Miller,34A90V2T,130.57
John Davis,USNRRHT4,88.12
Sophia Garcia,QJ6PJ63P,132.78
Tom Martinez,CTZ0BJSY,79.45
Tom Smith,LN7VGP6Z,134.74
