This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
John Johnson,FYB8FP7O,91.79
Jane Williams,RGUEPGTJ,127.73
Jane Martinez,XF6G9HKC,18.3
Alex Williams,WRKXNY13,71.11
Sophia Martinez,Y059RQOQ,14.41
Jane Miller,I5W9820X,101.36
Anna Davis,B34PI9BC,79.33
Emily Davis,WA3XOXM2,24.03
Mike Wilson,K9HH6E47,98.04
Sophia Martinez,FIAPFDZB,90.89
Alex Davis,Z8RNZD6W,78.81
Tom Smith,LGAZOOZN,35.03
Sophia Jones,6Q2R47Q4,65.76
John Johnson,3IDNHRT1,19.87
Alex Miller,OBXA0EV4,67.48
Chris Smith,3NI338IH,91.34
Sophia Martinez,NUNVB3G7,82.46
Emily Johnson,OKGLY6SD,100.27
Emily Martinez,O6CFXUSS,84.45
Chris Brown,2BHB2SAE,116.91
Emily Smith,ZSCAQACK,110.18
Sophia Garcia,7SZD06WS,34.74
John Brown,2A9JKWQM,126.5
Chris Wilson,WSHQZEVG,55.17
Chris Jones,ITDYI3PQ,20.38
Anna Brown,ZTCY0VNG,32.77
Emily Brown,3Z15M9M8,51.18
Alex Martinez,92FCVULQ,84.13
Emily Williams,FKVHF0A7,125.62
Laura Johnson,7F7RGDNH,132.18
John Williams,ZXHVKBEH,14.16
John Smith,TO7FOL48,107.4
Laura Williams,GS3QRQUW,117.67
Alex Jones,JAL955DJ,83.65
Tom Jones,C1PPKKAV,16.21
Emily Williams,6KJSCUBW,99.85
Anna Johnson,7R5TMTO0,62.01
Alex Garcia,ZPMAXFJ3,47.53
Chris Martinez,FJETZ9BW,95.03
Tom Garcia,NJX9JMDI,50.3
Chris Jones,J1LKI6GZ,115.57
Alex Davis,WPVITFHC,52.73
Jane Miller,PDWNGCP7,77.56
Sophia Jones,AGUULQCW,60.56
Chris Wilson,10TI2S22,66.13
Emily Williams,4CX9TSDG,134.88
Jane Davis,T4B9T7RH,38.49
Laura Davis,OMXQYKOR,109.66
Anna Martinez,ZB0YVWBX,85.51
Alex Martinez,92L30A7Q,103.58
Anna Wilson,KF1864EV,16.1
John Miller,L245ZBEC,117.81
Chris Smith,Y520BB5N,127.47
Emily Jones,LCAYISYH,38.34
Laura Martinez,7RCJBLYP,89.76
Emily Williams,NS9KAN2W,123.51
Mike Williams,T6OCGN6L,75.1
Alex Brown,ZSCJZF74,92.21
Alex Miller,JYE5JVT4,74.12
Chris Brown,KMNJZS5B,17.53
Tom Martinez,D1CINW8J,32.34
Anna Smith,56BPQHMZ,60.33
Chris Williams,BRSYI9OD,122.85
Mike Miller,XMJI4YOO,107.7
Tom Jones,79ONY53N,117.27
Anna Brown,2XK0Y3C9,95.37
Laura Jones,G8JXQE65,108.98
Anna Jones,J5G22CPJ,20.76
Laura Miller,8IXYBMVH,127.72
Sophia Jones,8I9KTONI,85.38
Tom Miller,WKC3BXR9,70.84
Tom Wilson,WW7RWCYV,34.94
John Wilson,01C52QG7,127.45
Sophia Davis,DTEJPTB8,121.39
Sophia Williams,7O3MFD2J,46.97
Sophia Brown,9Z1GD6UY,95.64
Emily Garcia,12L60342,19.31
Emily Miller,3OALLJ12,76.39
Tom Smith,LF979MIR,105.4
Anna Garcia,2H7DQ1JP,52.9
John Garcia,L6QHHTYS,102.92
Mike Wilson,SKH2Q1UE,50.37
Anna Davis,PBNRFKLJ,28.63
Anna Wilson,185ABHNI,46.2
Alex Johnson,S8QA8S62,114.81
Alex Jones,U7Y3SD26,85.59
Tom Williams,XNKF9U6Y,108.62
Emily Jones,501HIRM2,133.58
Sophia Garcia,T19T4SUX,31.6
Tom Brown,KBSXZIM5,56.41
Anna Williams,N1E5YG1A,43.6
Emily Davis,25FZYV8B,71.55
Laura Wilson,6XNNIT69,87.62
Sophia Miller,9QQH43SS,108.3
Chris Davis,K8VG94SH,53.61
Mike Wilson,MLF5722S,120.93
Anna Smith,0UEIZGYT,102.89
Jane Smith,3KRKVI0Z,129.09
Laura Smith,YU2OTBF6,120.7
Emily Davis,L05F9MK8,119.92
Alex Garcia,3UVQWAXG,49
Anna Jones,NZBTCU58,125.84
Mike Garcia,FDP8GF5A,39.32
Jane Johnson,PXGIFMBI,120.77
Mike Martinez,L0ETUY8K,122.96
Anna Wilson,M8N3H8LI,77.58
Alex Martinez,85ID0SVN,33.2
Mike Wilson,WN416K4V,71.78
Alex Garcia,C4EM8UIN,36.85
Sophia Johnson,Z5G8EW39,49.85
Emily Garcia,SMONFRG0,68.91
Alex Davis,4GV2L5US,118.41
Anna Wilson,N07J4KEB,119.98
Jane Williams,M8VOB9ZY,117.91
Alex Brown,FP8YG2C9,69.72
Anna Wilson,EPLBXM4E,64.26
Anna Martinez,FQJL8WYK,123.1
Alex Smith,ZTN9WFFQ,80.31
Tom Miller,NA6AA2X9,125.75
Chris Brown,P4EHR75M,53.04
John Johnson,7K34395O,96.21
Laura Davis,WTEVZJNS,128.5
Mike Davis,Z8KCCYUH,27.1
Emily Jones,7IY65K3E,126.81
Tom Williams,GUBDDA86,107.68
Chris Brown,3CIAFKBR,108.94
Mike Brown,VGSGILEO,119.43
John Davis,HD8DD3D9,115.07
Chris Williams,TUOQZ9W3,71.86
Emily Martinez,S95548KR,65
Emily Williams,WTCIGVK6,63.54
Jane Johnson,1N5PN09T,127.63
Alex Jones,O3J6759M,25.62
Mike Martinez,BZE4Q3TJ,111.48
Laura Martinez,AX9XZPVN,42.31
Sophia Smith,WWC2QVHK,34.7
Jane Miller,7KATBAN4,130.83
Laura Smith,AUM8Q6LS,86.06
Tom Brown,0RTWNG41,71.37
