This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Emily Davis,G9FOAKMD,21.63
Alex Davis,U22A0JTE,125.93
Mike Martinez,THM80IMU,68.54
Chris Johnson,R5SGZ1LJ,109.43
Alex Brown,PFMPI8P4,30.05
Laura Smith,9TLRBUDL,52.06
Sophia Williams,M0IID02G,75.83
Mike Brown,ODCTSRTO,96.92
Tom Jones,4W93K9P2,33.23
Alex Smith,ZZJLINQA,35.28
Jane Martinez,GD4ICUFV,61.59
Laura Wilson,WEOEIM0A,100.53
Chris Johnson,WDIJFNN0,124.83
John Garcia,ZKOC3CUQ,97.4
Mike Martinez,DSGPJ8NP,84.65
Laura Garcia,HYHQNIIU,28.41
John Martinez,6Q4GB6II,96.92
Chris Miller,SJ2ISM6N,31.44
Laura Martinez,K03AM4V9,28.6
Tom Davis,G0S88BDI,93.81
John Miller,Z9ZVBDV4,66.82
Mike Williams,Y2EN6I4V,29.17
John Davis,QZHOIRN5,40.54
Alex Jones,PV7N5MAO,119.49
John Jones,HJQY76R2,115.2
Emily Garcia,XPF6BLXI,91.74
Laura Miller,U4MP2T1Y,88.03
Mike Brown,CK4XSXTS,126.08
Chris Garcia,R8LVVORF,128.47
Tom Martinez,TCQRSTCU,93.46
Mike Garcia,LNRY7HR2,35.61
Sophia Williams,ZL7NQGD7,65.13
Emily Garcia,AYPKRZTX,59.63
Chris Miller,XV46DLE3,28.04
Emily Jones,AOT0L4VI,15.67
Jane Wilson,AXUPR7BW,50.49
Sophia Davis,48JXZSGM,101.4
Chris Wilson,79ZOGZIW,53.63
Mike Miller,394TJI8Q,20.6
Alex Miller,W2P7WWHM,40.01
John Davis,70PKR5OQ,68.99
John Martinez,I16N3V89,15.69
Chris Brown,9FOASLOI,100.15
Laura Brown,93I5HQE1,15.33
Mike Brown,1SOJDOIW,20.25
Mike Johnson,IHBINXXT,81.15
Jane Jones,HCPLXXID,45.73
Alex Garcia,BPSKLTI7,123.22
Mike Jones,WYN4TEC6,85.73
Anna Garcia,812RWQXS,96.4
Anna Wilson,YIKQQFFJ,87.1
Laura Williams,U2XTODG3,37.11
Jane Wilson,Q3O118OS,51.42
Mike Johnson,R7CK62H2,20.56
Laura Garcia,BQ2AYSN0,51.08
Chris Jones,JAZBG91E,134.13
Mike Davis,Q9ZD8N19,23.14
Sophia Williams,4NX7W09L,99.17
Laura Johnson,IEQ2F1QB,108.11
Jane Davis,X4HY57UK,53.58
Emily Miller,JZF5ZMZI,92.65
Sophia Jones,7EY20OZD,98.22
Mike Smith,ADDMIA9G,81.26
Tom Miller,W5IMONST,75.18
Mike Miller,2ROU5K20,76.43
John Williams,WAVMAKPI,129.2
Sophia Johnson,BLCGQJOO,69.02
Tom Brown,V6YF4U0W,68.41
John Smith,5ZKXU46Q,57.51
Alex Wilson,A2L6TSQN,94.46
Anna Brown,Z6CYBKG6,48.4
Chris Brown,WRUJZGC8,124.05
Mike Wilson,Z8W9EM3C,27.28
Laura Williams,L10PF5GJ,86.22
Emily Wilson,WO8Q7JZZ,127.36
Tom Jones,CUU6ISS1,94.99
Chris Johnson,UD58ZNRP,115.25
Jane Garcia,IZSHZ3EB,107.37
Laura Williams,0ZCS167B,13.38
Sophia Brown,HKY68C8Q,63.57
Mike Martinez,X0LVYG8B,40
Anna Johnson,LJ93AIRE,88.72
Sophia Miller,9AQOBV3H,14.56
Anna Wilson,0VKVAF8O,95.52
John Smith,ORY59KOB,64.64
Jane Brown,UF44IQYS,26.82
Mike Wilson,ODDBU4X5,69.13
John Brown,FP1ZFENB,110.96
Alex Wilson,D22VLU0Z,77.05
Anna Miller,XX3VLJ5I,49.8
Alex Miller,RD3A6E2X,133.81
Mike Brown,TZC0ST1W,21.86
Mike Martinez,KQNSW6BS,38.51
Anna Johnson,CIJMJSS7,33.16
Laura Davis,M8LYCFPV,61.83
Sophia Martinez,EEJD7PJU,28.05
Anna Jones,T67EZ9DY,111.85
John Wilson,Z38U4CV7,21.48
Jane Jones,8JC0OAOD,44.81
Sophia Johnson,ZM0UHSC1,49.05
Mike Williams,8J8QGOE0,132.57
Sophia Jones,WCRFZ36H,99.82
Mike Wilson,HBCDU4PH,62.98
Tom Wilson,GMKUVGLE,64.21
Tom Johnson,OPKCZ1P0,123.14
Sophia Johnson,INY012S4,22.57
Tom Smith,M2O8HZQZ,65.81
John Martinez,DG7NNDFL,19.73
Sophia Brown,5Q3O0VIF,108.25
Jane Miller,T6I4QU0D,61.9
Sophia Jones,3W13MIH6,84.75
John Brown,LJ3L0IZ6,113.88
Anna Miller,M16F3BNO,83.51
Sophia Martinez,C22KVJYT,129.1
Tom Miller,K9HTYB8M,61.52
Tom Davis,CI15JV5A,72.61
John Garcia,F63CYNWF,122.37
Anna Smith,HBAEBNKM,65.2
Alex Brown,SBJ5ZOCG,107.06
Jane Garcia,PC2QNURB,99.36
Chris Brown,G2Z3D3CV,27.6
Sophia Martinez,75BK91IQ,99.42
Emily Jones,DH2N8FQ3,15.24
Alex Garcia,SWO7UICQ,100.77
Sophia Williams,2NQEUG7D,47.22
Sophia Smith,IWXC6QX0,103.69
Laura Jones,JUXC8JY8,37.17
Jane Davis,42BGEU97,25.8
Alex Brown,OJ3RODCY,17.39
Emily Smith,RIZPP8XK,90.66
Alex Williams,57NT3CD8,70.82
John Johnson,T0BT56HH,57.21
Alex Wilson,8X0I1O8Q,93.83
Jane Martinez,Q2NOZ1M6,67
Emily Jones,PZZ3BIKG,50.82
John Jones,1T4N1UNJ,60.85
Alex Garcia,A4G47FUX,116.89
