This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Alex Garcia,SL2BVF33,86.8
Jane Brown,CHP4SSMD,18.42
Emily Davis,S6J1CZU9,32.2
Sophia Smith,JBYA29D4,78.58
Jane Garcia,MEJ8ODXO,52.74
Tom Miller,9399PGNA,94.47
Laura Smith,8S3JE3QY,75.2
Tom Smith,E5VM6NSO,59.16
Laura Johnson,2QH6LIYI,88.94
Emily Wilson,6S2Z0I9L,75.05
Emily Martinez,BDKXHQEH,34.22
Jane Miller,J0ZJBS6A,121.75
Mike Johnson,JCJ1XMWH,31.49
Alex Brown,COMWW8CR,81.89
Alex Jones,TRZEKPUS,112.71
Jane Jones,XUSSSKLB,35.05
Alex Brown,WGQD4CMW,128.92
Sophia Davis,UDONEG1U,78.43
Mike Martinez,S1N93V4F,80.11
Mike Garcia,XXZPI4NS,29.41
Laura Smith,N2ICWQEZ,49.34
Alex Brown,MMN2266E,36.47
Chris Smith,N4M6IYNA,69.79
Mike Brown,93KIVB0G,114.36
Laura Smith,IUHX3SZI,38.19
John Wilson,6BGDGOLS,85.13
Laura Williams,NN5RB9JI,90.87
Alex Garcia,D1VJJ57R,133.01
Anna Davis,XO3VN1MQ,107.01
Tom Williams,DZNSZ531,55.37
Alex Brown,ITY60PUM,26.69
Chris Garcia,430D9V1G,72.76
Jane Williams,MXHUGQYP,116.84
John Smith,0S0TRJUH,81.78
Emily Miller,4YXIK7WC,49.28
Jane Davis,9TP7DGVX,50.51
Alex Wilson,SMJIZ31K,102.91
Sophia Jones,7CCK7UD6,90.86
Anna Martinez,6ZW32GT6,38.23
Anna Johnson,5C18XP92,20.65
Alex Williams,R2ZASDSQ,38.17
Alex Williams,2ZTXFZMZ,19.97
Jane Davis,E6O2Z1EK,67.04
Tom Miller,W5STLYTT,86.4
Tom Martinez,12QDAMXH,98.14
Emily Johnson,PNIVJZ4Q,16.02
Anna Brown,GCBDC3G6,114.01
Mike Garcia,N6VXV4NO,91.03
Alex Johnson,PV7YP3NA,25.46
Jane Smith,81SKSKKT,126.41
Chris Johnson,WMNMXF6U,23.53
Laura Johnson,HTRXR5A5,118.11
Mike Jones,LS09VRI2,106.87
Tom Davis,ZYU6MQHB,80.15
Jane Williams,YS10SO71,65.35
Mike Davis,G6UVCKJR,77.78
Alex Miller,AGTMDWJ5,16.92
Tom Williams,UP7LWREJ,13.36
Emily Garcia,DXT1Q0RO,48.19
Laura Garcia,S8JEEZV1,47.64
Laura Smith,1OCTNJJA,128.87
Laura Davis,RS7D63IE,126.19
Mike Smith,5L1NV7KV,94.06
Anna Smith,BYOFNYYX,124.83
Chris Wilson,VPNKAKG5,67.82
Chris Brown,8Z6OKU2H,72.58
Mike Wilson,9XVY80EM,85.88
Mike Garcia,43GENRBB,39.28
Chris Jones,LU2M9LRF,128.09
Mike Wilson,BDR2RKVC,34.37
Alex Brown,5CNNVOPS,132.93
Anna Jones,4YF7LJBI,32.95
Mike Brown,ZDB649JG,78.49
Alex Brown,RKWC64HM,20.29
Alex Martinez,DRM6TNTF,84.28
Alex Davis,2JOII1IA,96.58
Jane Jones,KW1MM3TK,36.58
Alex Garcia,0CVMI9CK,82.09
Emily Miller,3965JWZ1,103.91
Alex Johnson,OI9BN24R,114.49
Laura Garcia,P2FRQK81,90
Laura Williams,E7V46L97,62.96
Emily Johnson,2JOVE52B,60.64
Sophia Davis,IH70ZBZW,115.64
Mike Johnson,OSLWNRSF,75.18
Tom Jones,42ZVDXJI,63.56
John Smith,YH3MRQYY,91.76
Laura Johnson,WIPWO037,30.91
Sophia Jones,WTQOJUC2,95.82
John Brown,RADQ49DQ,134.47
Jane Johnson,VZVBYJYS,89.18
Alex Jones,P5NK41V3,114.09
Anna Smith,8MMBAUPZ,13.81
Emily Jones,VOHNZE0F,77.01
Sophia Miller,GPP9PSUR,111.95
Anna Williams,6Z716N98,85.33
Tom Johnson,A1KFU13D,63.7
Anna Wilson,W1C8K8U8,21.46
Laura Martinez,9UYMT919,113.92
John Brown,1LCDX0VH,21.19
Anna Williams,P5EF8OQY,29.24
Jane Johnson,QL82F0AR,99.47
Mike Jones,A8UT6KOC,111.65
Emily Garcia,GO8VAGPE,27.32
Tom Wilson,LQTNE6DV,47.73
John Williams,LJ32O1KE,76.58
Laura Williams,I7RTLWZJ,59.8
Alex Smith,AY3WN0L4,57.46
Mike Johnson,SVEVL43C,67.75
Jane Jones,4CYGY8KI,48.09
John Johnson,4PTKLHV4,84.15
John Johnson,YWGZWN19,83.89
Emily Davis,SU26IT38,87.7
Alex Brown,UOKGVNJW,110.15
Sophia Davis,O4ODHEZB,118.37
Emily Brown,U2TNCGNU,64.13
Tom Davis,08ON1UAW,64.49
Emily Jones,08YXH8WZ,20.38
Tom Williams,4LJGOTKD,63.66
Chris Wilson,F2GBYLOJ,60.45
Mike Martinez,6LYHBTNI,109.64
Mike Davis,TBTOUZX0,120.67
Alex Williams,47L9GXWD,133.88
Emily Brown,TR6U2GX1,38.65
Alex Miller,YDGCLMFI,55.14
Tom Smith,CRP9Q55Q,16.28
Tom Garcia,3M3UHS4A,78.68
Sophia Johnson,ZY2F8CMW,84.13
Sophia Davis,NQSO3LBQ,34.86
John Davis,R1XTAL7D,62.47
John Wilson,WKDGLJ75,121.76
Sophia Brown,C56TNUVU,111.12
Sophia Jones,84D5QB3V,25.32
Sophia Jones,BJ67BGNE,91.48
Tom Davis,FKF5H88C,72.27
John Johnson,SE3DQ5PE,66.81
Emily Wilson,LCLJAZ0S,20.06
Emily Miller,TXG631XU,15.86
