This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Sophia Brown,03W6HH63,87.12
Sophia Martinez,R0YI1AY2,36.16
Sophia Johnson,B2BD5KMW,97
Sophia Johnson,2V8QLVQI,71.06
Chris Garcia,IU8WX3EQ,116.42
Chris Davis,LCZIWMBE,107.1
Tom Williams,QYPOHLJ5,93.19
Chris Martinez,WCK73F6S,110.44
Alex Jones,EVWGRR3D,38.82
John Williams,7RX1E7NT,30.15
Alex Davis,RESBERM9,71
Mike Williams,QBYSS7ZK,72.23
Mike Martinez,HQTDV58F,66.19
Sophia Miller,2WZ4KJQV,83.3
Chris Johnson,6NUMQYL5,99.82
John Wilson,19AQOZB0,109.58
Laura Miller,6D2EPEAV,89.09
Chris Brown,11GESY20,42.96
Anna Miller,0TU6XZ9L,96
John Martinez,WJBSVYXB,121.4
Jane Wilson,IA79ZZ3E,70.34
Anna Smith,QGN6MPRK,134.13
Laura Garcia,R9815B9W,40.43
Tom Smith,Y0S4MOD5,117.75
Sophia Johnson,Z2YTCS5U,45.59
Jane Johnson,MB61EX4J,78.52
Jane Miller,4U0WIPBE,103.67
Mike Jones,JLUBSAF1,98.46
Anna Garcia,HCZD3UNC,122.23
Jane Davis,IYETAIZT,42.09
Sophia Miller,87YBMWOL,47.17
Emily Miller,D7O01AYQ,24.94
Emily Jones,Y9YLDPUV,29.93
Anna Wilson,T8KQ4R7B,76.96
Chris Jones,TAFMS0NO,60.08
Alex Wilson,4SHIM312,107.31
Alex Miller,8IR3CW9P,102.22
John Garcia,T093ZDHS,99.19
Tom Miller,ONNN1T7F,88.32
Emily Martinez,CYX56AJH,132.33
Chris Wilson,AIZ3U4OX,99.14
Sophia Jones,L2BMXVCJ,73.84
Alex Wilson,KEIATNPK,100.47
Sophia Jones,NHH952SC,14.18
Chris Davis,ES5K98CI,18.05
Tom Wilson,LP3SV2Y6,84.21
Alex Wilson,GVMLMRP6,134.05
Mike Garcia,JO8NG23R,16.87
John Williams,VF0MKNTW,59.71
Alex Johnson,6MDY9M3I,84.94
Sophia Brown,WXJHZED4,34.37
Mike Smith,7E0DYQKK,94.05
Tom Miller,HPECKKV2,20.98
Emily Garcia,9THDCIRS,88.11
Jane Davis,ONNWOSJB,37.57
Chris Wilson,V1WKRX93,78.32
Chris Williams,4EFV02VN,80.06
Emily Wilson,3MU3J6SA,84.6
Anna Martinez,FPDF2HO4,119.84
John Davis,7KOUJJC1,16.1
Sophia Wilson,QR5HMLVU,105.83
John Johnson,8GB90124,50.2
Emily Davis,IJHR3540,22.77
Laura Wilson,7WLQX2DE,127.63
Jane Smith,3EZZ7UNV,48.77
Emily Johnson,15N9HZHV,95.31
Anna Brown,MW6II4TU,45.48
Anna Smith,4BL4BWR6,133.29
Chris Williams,G3NJNLOJ,64.02
Alex Davis,8V1UDADS,73.4
Anna Jones,0IOTWVKX,105.42
Emily Jones,KD7VQMJ3,82.35
Sophia Garcia,NIU19GSH,56.73
Mike Garcia,2BXUV1ZU,83.26
Jane Garcia,O6VTPPSR,77.34
Laura Miller,VEJ28X14,85.51
Chris Williams,CGI3ILXO,97.86
Chris Jones,5HVFE2BU,97.16
Mike Brown,I1FYXI4E,62.89
Alex Smith,LAQMWF6W,77.51
Laura Jones,T26LCPEL,99.17
Alex Williams,1OBBAIYI,124.38
Mike Smith,U6CUZ7DD,86.14
Tom Williams,EINJN8W2,56.67
Anna Williams,HUMN3CR9,124.18
Tom Brown,1JF5Y5LG,105.75
John Brown,0AL3SHJS,16.17
John Wilson,2BE100TQ,117.93
Jane Smith,70ZZDLDL,15.21
John Davis,Z37G1WD6,130.54
Chris Johnson,7E1GE9VR,55.17
Anna Smith,WDVWZH4U,95.16
Tom Williams,O2QDY6YK,87.47
Emily Smith,XS85RFJ4,120.85
Sophia Martinez,RHCMIS0A,117.99
Emily Jones,EYTQF038,105.42
Mike Davis,NIGKINDX,22.07
Emily Johnson,7CJDN354,75.1
Tom Garcia,YX7D3GI5,32.4
Anna Williams,MDF39KB0,47.24
Alex Williams,0BG0EHYS,53.48
Laura Brown,J9BNNAYN,39.26
Jane Smith,KT3UXEPH,77.16
John Wilson,G68UXR58,81.74
Laura Davis,2G8P91CD,66.13
Jane Jones,74LM3Y9E,38.27
Mike Wilson,5T0O4RMO,99.09
Chris Wilson,1OO8VNXN,124.06
Anna Garcia,WNP167CD,85.02
Chris Brown,CBLD8KVQ,28.91
Anna Brown,8GYRFPLT,35.7
Jane Jones,9P5BYFRQ,96.95
John Williams,W2ITPRYU,56.62
Tom Wilson,TJ0GQ6JL,66.08
Anna Smith,FTIFBU0K,100.05
Emily Brown,3DTQ4JJU,36.52
Chris Smith,T5ODUDW3,22.14
Mike Davis,C0IX38ZY,124.65
Chris Garcia,1G2C26A2,87.14
Mike Williams,CEO0CKSM,91.45
Anna Brown,8CLHUYOD,25.72
Alex Johnson,NYZ1RJHZ,126.78
Mike Williams,3NODWKDO,14.3
Anna Martinez,9S3OHLGS,85.71
John Martinez,KF6M4LUF,62.35
Anna Jones,MFSJVWSM,97.49
Tom Wilson,HER13JIZ,85.18
Mike Garcia,AXRZOK9M,98.82
Mike Garcia,GX0V42YN,61.41
Alex Williams,HBCILBP0,91.95
Jane Davis,YS5OAS98,97.93
Emily Davis,PRA6J75A,49.19
Emily Johnson,JE1FXDYR,87.47
Alex Garcia,BH03IUO3,33.9
Alex Wilson,52VW21F6,30.08
John Miller,Z5Q9WJY0,13.05
Chris Smith,0DHFUTD5,88.97
Jane Jones,J6YRV5Z5,133.52
