This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Jane Brown,7RGKU3O0,96.88
Sophia Jones,ED98FGHD,20.88
Jane Smith,0ASRMA9B,83.61
Anna Johnson,J5I4GSV6,96.69
Laura Wilson,VXWKG1IC,81.19
Alex Davis,GL17NOUP,115.35
Emily Wilson,6TR21C32,53.56
Tom Brown,CZWY9UY6,105.54
Jane Williams,F183QRGH,44.73
Alex Wilson,FET9D7R1,70.44
Tom Brown,YXN1E3I8,120.13
Chris Wilson,KRH6JTM6,103.24
Mike Wilson,IHLXNMJ6,86.03
Anna Williams,WN0JUHBJ,64.77
Jane Johnson,XR6EMU1Z,50.94
Mike Martinez,JBIUITKE,105.45
John Garcia,BH94EARK,97.23
John Smith,X3JHRYSF,133.63
Chris Smith,WOVQWVOX,52.37
Mike Brown,LW9LTZ3Z,14.29
Emily Jones,ZZOR9HTC,96.07
Jane Martinez,VXZEGK11,87.02
Tom Davis,C0O5009E,59.72
Alex Smith,RI2UW6A9,50.4
Chris Johnson,RRUWKU24,94.93
Alex Jones,F17Z7122,63.01
Mike Wilson,71IMYAZZ,95.5
Laura Martinez,30TUDQZL,39.71
Jane Miller,PVA7GTYM,68.39
Emily Jones,V8ZO9071,99.67
Laura Jones,FASAKSSU,64.01
Sophia Williams,H2TES4OK,63.95
John Smith,Z592I4DH,37.56
Emily Davis,HCHOVSAW,72.06
Chris Johnson,2PT3S9EP,79.86
Anna Williams,QJRA1YXP,78.63
Jane Smith,LQ47QCNV,115.13
Sophia Miller,IY0GS363,98.32
Jane Jones,MPPK6S2T,95.45
Anna Davis,XZ8EYD4A,29.44
Laura Brown,JBZ5Y2AW,108.33
Laura Martinez,9VDANXI8,29.55
Mike Davis,TN1XXG3Y,21.33
Jane Wilson,DK8OZKQH,99.15
Tom Wilson,ZQQEUL88,93.85
Alex Johnson,JRV8T9DT,13.27
Sophia Brown,2E2174OC,104.79
Laura Brown,7ZEX7U46,40.47
Tom Martinez,R2B1VN63,34.91
Mike Jones,NJGRJNH9,93.09
Anna Wilson,JTQ3MM1V,90.09
Anna Smith,GPQ1U6KA,49.61
Alex Smith,4PWC74NT,102.33
Anna Davis,FU4Q7UQ9,134.46
Alex Davis,UZHMXZ4A,84.66
Mike Wilson,9PY8ILA2,60.57
Mike Martinez,WO8CMUJZ,83.96
Mike Davis,8ZIRNTBE,66.21
Alex Miller,KGQM6KR7,78.47
Emily Jones,57H88IBJ,74.45
John Williams,0NTTUC5V,133.13
Sophia Smith,78A2HV44,91.92
Jane Wilson,FWNLJJI8,21.48
Emily Garcia,1L3M4VPQ,118.09
Jane Brown,1SYD7SGI,67.2
John Jones,1P9AY71O,92.39
Alex Smith,YZWBF8MU,98.9
Laura Brown,QCNP5NND,100.41
Jane Jones,MVA8IY0G,98.64
Mike Davis,8I1YZQK3,26.09
Jane Jones,HUQKR1KB,118.09
Anna Johnson,UV6NEAPX,52.42
Jane Garcia,41G9Y438,97.87
Mike Martinez,2RRAE21B,77.4
Alex Jones,YE302AAM,13.01
Emily Miller,Q8JM02YL,22.29
Mike Johnson,WHXPY900,77.04
John Garcia,FE4UVP49,36.12
Alex Davis,28U314Y0,39.87
Chris Martinez,FC2O0Z1M,86.71
Laura Wilson,B0XSVI35,126.49
Laura Williams,UOEYPKTN,108.12
Laura Jones,BUJZVJLN,127.82
Jane Jones,BJK45E7C,43.82
Sophia Davis,ODASXBBM,95.96
Jane Martinez,UNFAXJ5P,56.58
Laura Garcia,KWJD5Q6D,26.24
Alex Davis,G49L8M2V,60.99
John Davis,MKD4ZGT5,111.29
John Smith,C169KUG3,37.7
Sophia Brown,7MIF8BV8,133.9
Laura Davis,N8E6D8LH,93.88
Emily Wilson,31IZFJJS,49.24
John Miller,RTWPMESS,131.7
Jane Wilson,AD3I6A02,105
Sophia Johnson,H9F3AVRR,105.29
Tom Smith,8CGEZQ88,17.93
Mike Johnson,Q8IMOZQQ,89.55
Laura Davis,VULOP13Y,100.33
Jane Wilson,5DGBFXOX,31.14
Laura Johnson,ZIE7RGFQ,132.84
Chris Smith,LE308AXW,99.75
Anna Jones,TLOXFM8Q,57.11
John Davis,XCTS2VQO,83.31
Anna Johnson,ZW3GKJFB,88.26
Alex Smith,KJMI7ERT,63.65
Laura Wilson,OWBKT06Y,126.89
Tom Garcia,SDGQLPPK,113.4
Anna Martinez,TMX6JVV4,101.44
Laura Brown,XC9IE2P8,49.92
Laura Smith,9TNJC5CA,122.62
Jane Martinez,BYL06EHP,92.83
Sophia Smith,8EEK2VJE,58.46
Chris Williams,RBZNP119,110.35
Mike Martinez,QSCAO1MH,117.56
Sophia Davis,D3E32YD3,74.36
Laura Garcia,H9YCVC95,95.65
Mike Brown,XSSZIERC,81.03
John Miller,X4HYSN4W,69.28
John Wilson,MB56DZ3Z,31.15
Mike Davis,LJCDRFEJ,114.69
Chris Garcia,AHKQDQNI,125.02
Emily Brown,YFH0BJDF,80.42
Jane Davis,EQE2L3BH,123.72
Mike Miller,98SYINCZ,50.82
Mike Smith,KQEO4AUT,104.88
Chris Williams,LUNCRRQ8,14.15
Jane Johnson,ZOPDPMF2,58.44
Chris Jones,SBY1TKXW,64.38
Tom Wilson,DZYGVQLN,22.74
Anna Davis,HWIPXP0Y,92.03
Mike Wilson,1Q6ISF51,67.52
Jane Jones,GLQMLNQY,103.77
Sophia Martinez,9VE02U9J,47.52
Emily Wilson,10SXC26T,75.85
Tom Garcia,5RYXP4SU,134.05
Sophia Garcia,NJDJYGHZ,59.71
Anna Wilson,MIBFL9G5,79.43
