This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Jane Johnson,IYTHZCYD,126.81
Laura Jones,QNYQM0Y1,36.59
Chris Smith,61CMOOB6,110.69
Laura Davis,MDDG22DT,106.92
Mike Martinez,ZNUH61ZQ,53.14
Tom Williams,1XETWJS6,111.23
Emily Williams,33NJ9KEG,45.36
Alex Miller,YFWAWHPM,120.1
Emily Smith,T7D5DJZ5,88.07
Sophia Martinez,K6TTDP07,84.88
Sophia Wilson,LNW6GW3P,109.2
Tom Garcia,RRT0D8VL,81.81
Tom Davis,XNB2V1D2,47.79
Chris Williams,0EXOTCBC,84.27
Anna Martinez,9DTX5O3Y,64.26
Mike Martinez,UES7NDO7,19.71
John Brown,1SCTXJO0,107.26
Chris Johnson,PE7UU70B,84.14
Chris Martinez,82PPNVBS,88.31
Chris Garcia,AIOH53MV,101.96
Alex Garcia,IWAEMHZ5,60.23
Mike Martinez,DRNE3K2J,113.39
Sophia Wilson,9HZ2P27I,110.68
Alex Brown,0J53DK6V,134.19
Jane Wilson,GLYIJP7D,14.42
John Garcia,ATWAJPV6,56.63
Mike Brown,0M7V8KOM,43.51
Alex Wilson,H38VFRTX,25.52
Chris Davis,AOE64115,63.97
Jane Martinez,SJUJ0AV8,72.15
Anna Williams,SZBSNUXA,94.26
Sophia Brown,U43ES4TK,66.64
Chris Miller,X6Z05NXH,20.46
Alex Smith,Y5BKAEPL,87.38
Tom Garcia,QYTS01HW,103.58
Emily Martinez,036GZKEQ,131.54
Jane Brown,VVLZE878,122.93
Mike Wilson,W6T4HNWO,122.85
Alex Smith,VDCJ1Z9F,70.67
Laura Jones,8BUNSR48,128.51
Mike Miller,A3LZV77T,79.87
Jane Davis,2AFWJR6U,117.09
Anna Garcia,8A8ICLQN,94.22
Sophia Smith,TNGLSOON,129.96
Chris Brown,IVOYG785,108.88
Mike Williams,UDUHYTF9,40.41
Jane Wilson,MZUZ7CXS,29.38
Jane Johnson,SJI7MDLN,27.75
Mike Wilson,6LNG35OP,55.17
Anna Davis,R27CX3Z9,43.27
Emily Smith,AQV3MUIR,33.67
Mike Wilson,7UQCEX5C,94.18
Laura Davis,GYFC4C4A,68.47
Chris Jones,XUT3Y8HG,87.33
Anna Johnson,89WNKBJD,129.89
Anna Jones,K6IIHA8G,119.34
Alex Wilson,TV0JBU44,106.47
Chris Miller,7RC5PDAL,75.17
Emily Jones,AZTXZT7G,36.78
Chris Martinez,9VZYEH43,32.38
Sophia Jones,LVKU55KY,61.04
John Miller,IZIUYE9Y,91.31
Mike Johnson,XDUAA9QZ,107.72
Emily Garcia,M98W82ZF,108.1
Chris Johnson,WH5HKQZ3,103.26
Laura Johnson,9SOJIXZC,81.58
Jane Martinez,FBPATVF3,108.47
Laura Jones,QH93KC9M,47.31
Mike Martinez,YWJYRMS3,78.64
Sophia Martinez,P73I5RVL,43.26
Jane Johnson,YDWVKC1B,81.48
Jane Jones,D134TODT,126.47
Alex Johnson,Y4MSY6M7,94.87
Sophia Wilson,94UGZN8V,38.2
John Smith,322X0JT5,81.44
Emily Miller,LWPJBJHP,116.9
John Jones,FD4VJQ35,59.13
Alex Davis,S2MXO62H,122.24
Jane Garcia,61L612V3,116.75
Emily Jones,CG8EZHK7,135.22
Sophia Smith,R4GFWWVZ,72.75
Jane Wilson,MCCPXW0V,28.06
Mike Miller,4CZCXZ3I,121.05
Emily Johnson,KW55CHW6,99.64
Alex Williams,5SH5AO3A,66.07
John Martinez,0TER7MIV,41.08
Anna Brown,2UA09OCE,102.84
Jane Martinez,B8N61ZQL,33.88
Chris Martinez,OG9A6BFY,45.64
John Davis,7UWYHMI3,35.66
Tom Jones,PE74T743,58.78
Laura Garcia,WNCI9VEB,49.86
Tom Wilson,IZNFN6AS,133.57
Chris Johnson,8HCUC60Q,66.29
Emily Jones,CXYCZNZ3,115.15
Chris Smith,M49IT9H0,110.42
Sophia Martinez,37USLPDL,116.77
Emily Davis,TK3D4YRC,28.6
Mike Jones,MAZS4LEP,69.94
John Johnson,1RL3O7UM,125.93
Tom Smith,R6YY7YXE,79.17
Laura Wilson,PH1E43JO,55.8
Anna Miller,Y4OKTJVL,26.38
Tom Johnson,OBTSVXU4,129.71
John Wilson,OOH3OTE8,94.6
Emily Williams,BSJA8VRJ,54.6
John Smith,6RZ7JC6C,99.2
Sophia Brown,T2O8S73H,39.16
Anna Miller,2XNIVI62,124.59
Mike Garcia,MYKFRLUX,78.02
Sophia Garcia,1MHH4PEK,49.51
Emily Miller,O3ROV7PE,107.47
Tom Miller,SVKKHTNW,125.98
Mike Davis,8ETRQDML,51.8
Anna Miller,CABGQ2GI,68.86
Jane Davis,SBD0UTLQ,109.69
Laura Smith,KH73GKF8,39.96
Alex Brown,LHLK7SL3,128.5
Laura Brown,RW3XAL8O,71.91
Sophia Garcia,W57A8BB8,131.13
Jane Garcia,VHW9UCUT,89.62
Anna Jones,2VN8KFFB,93.59
Chris Brown,MQ5BZOVI,47.86
Alex Davis,8UCHT35U,111.83
Anna Miller,ERYAIXQ7,41.24
Alex Martinez,5GX4HVKV,25.56
Anna Jones,RBBU00MI,115.07
Chris Williams,POBTSPL2,47.01
Tom Jones,5TJ24HXD,120.87
Tom Martinez,H4ONPI13,130.78
Chris Brown,Y6RM9U2C,62.34
Laura Williams,AS7E444L,27.53
Tom Williams,QEEGMGHA,95.86
Chris Garcia,BPTO4WP3,105.46
Sophia Brown,QEW829F7,102.83
Anna Jones,G94FVI0G,113.64
Mike Martinez,9YT3MIHF,100.78
Jane Williams,MOVAY3GV,17.17
