This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Emily Smith,6VOB0CB9,75.38
Alex Garcia,CETP9JEX,122.35
Laura Williams,J8OVR3FO,32.85
Mike Martinez,E7ROTE3G,80.31
Emily Johnson,LEQSVHB3,61
Jane Smith,UWU2OIXE,112.79
Mike Miller,AWOB5MBT,105.79
Laura Davis,YZWIEHZG,36.66
Jane Garcia,WSFJ2ZML,26.83
Sophia Wilson,LX84G5ZS,59.82
Alex Williams,JQPHBOS8,65.47
Mike Williams,O47SWPHR,36.87
Chris Wilson,9A2HPZ2W,26.45
Tom Martinez,7YZKBSBN,123.12
Mike Miller,GB7D3LUH,49.09
Sophia Jones,EVC0V1YR,39.66
Sophia Miller,CA598XOT,51.79
Laura Martinez,4ZXQFK6R,134
John Garcia,CYC9SMOM,64.34
Chris Williams,QJKNSEG9,63.5
Sophia Davis,PZRK0LAB,47.82
Alex Miller,R5EG74ZF,82.63
Alex Williams,WHXIDL0U,48.26
Sophia Smith,693RRWO6,118.27
Emily Miller,WXVVXCBP,112.15
Jane Davis,Y8D7ZGNU,122.76
Tom Brown,51KQ3Q38,46.26
Alex Smith,OGUY9AFF,89.11
Anna Martinez,KFAIZ2X3,34.09
Emily Jones,N1SK3D84,97.28
Mike Davis,ATU0KP99,52.74
Sophia Wilson,RKK3E8GK,37.34
Anna Garcia,8PSKPJZY,108.82
Laura Martinez,ZNJ7UYHL,72.69
Emily Martinez,FKF77TZP,103.98
Anna Miller,8R5QX16Q,131.89
Sophia Martinez,EBL3MFXZ,109.05
Emily Smith,YS4TGWKE,87.55
John Martinez,VNXFC6CB,100.55
John Johnson,JNRAI2XB,29.13
Chris Martinez,B97JTTCU,72.14
Mike Garcia,U5V8RZJ6,117.96
Alex Smith,EOY14AYN,133.44
Laura Smith,3HBHZ5PE,83.87
Jane Jones,8K0A3HBO,28.24
Anna Smith,UHTWMDE4,71.93
Jane Brown,Q5T7JDYP,72.41
Jane Miller,RR5KOSUE,50.42
Laura Johnson,UFGOMWIQ,60.14
Tom Garcia,HFPPSIAE,104.6
Laura Wilson,LXNZ8L0L,70.78
Laura Brown,TIIHTT3L,48.02
Emily Garcia,5HOSPXWO,88.91
Anna Garcia,ZI2GWIBC,61.46
Tom Garcia,DGHHPQ3P,13.39
Mike Martinez,WQLFFSS4,78.4
Tom Johnson,9BT0OWPJ,103.81
Emily Jones,T58SHOLX,46.16
Mike Garcia,4Q79804A,97.78
Tom Jones,DYRU75IX,72.38
Chris Jones,MN40P030,62.89
Alex Martinez,SROAQU60,20.84
Emily Johnson,9JEHRO26,49.13
Emily Smith,6HT7AGXG,19.72
Laura Jones,95L3J3SX,134.46
John Jones,01W7L0BF,132.37
Jane Garcia,7MTLVXBC,52.46
Chris Martinez,HB2JULZM,119.15
Chris Brown,24TW43MX,28.69
Anna Johnson,6NRW7MXJ,17.75
Laura Davis,44NKJ8P6,42.17
Anna Johnson,GPZW8UGT,89.07
Anna Miller,WPNZU2Z8,77.27
Anna Miller,YRJ9X7F3,118.94
Emily Wilson,O1B95RT5,117.29
Anna Wilson,MLYUOSOQ,37.5
Emily Smith,G2D3ANXA,16.3
Sophia Jones,4A46ZT87,103.17
Anna Davis,OCLSWJYF,23.13
Mike Brown,OPKZE3YZ,129.03
John Smith,U8TPJ7V3,116.34
Chris Davis,1LAONESV,91.72
Anna Martinez,RRWOZEVC,85.45
Chris Garcia,S0Q78BJF,81.14
Mike Johnson,QNKK9AY9,98.22
John Williams,BXP77E42,71.12
Sophia Wilson,B3RIGOMB,67.15
Anna Martinez,D1QH8OOQ,36.99
Chris Smith,DU6W9QGA,22.48
Emily Martinez,9FCZ6VX6,89.73
Laura Garcia,ON0IF7CB,112.96
Jane Martinez,GFQ1MEGY,45.91
Sophia Davis,YMWXRF9N,58.22
Alex Smith,TQOM7RRV,15.82
Emily Johnson,JZ896MJA,78.29
Anna Johnson,I7TQBRXG,120.79
Emily Jones,8LEI9M0D,121.39
Laura Brown,O7L8R2VI,100.85
Jane Brown,NHEPOVKB,65.13
Mike Jones,1R0IOHVT,117.59
Alex Brown,UM12KOJU,114.75
John Brown,I9GBUKJW,26.99
Alex Brown,TJO3DV8E,121.06
Emily Martinez,J7HOXSAG,130.27
Chris Miller,S4B25FNC,82.18
Jane Williams,PGSVUB7J,135.28
Laura Williams,ZP1XXTI7,117.81
Tom Williams,GPPWNKEU,95.2
Tom Davis,307ZTPON,52.31
Alex Brown,XEK1X01I,81.97
Mike Smith,PX69KYYV,45.33
Alex Brown,8KHZ6LYB,66.25
Emily Brown,IQEPBWTZ,104.62
Sophia Miller,GHA72G0S,81
Tom Brown,82FUERA3,126.77
Jane Martinez,8XBCK4UN,45.2
Mike Garcia,SH5XCE7O,16.56
Anna Smith,V6QOWXAD,102.2
Jane Wilson,7Y7KNGK8,124.63
Emily Johnson,9BD34LIM,104.04
Mike Jones,LLE7BVXL,21.03
John Jones,LNK6Q10R,102.63
Mike Davis,KPQ9BC3C,28.9
Alex Johnson,AAL5M235,49.82
Mike Williams,SL7CTQT6,130.3
Tom Martinez,TXKA8400,20.92
Jane Smith,KL5UI1FW,89.84
Chris Johnson,2BVSZXJ1,73.65
Tom Brown,AY092RD6,108.18
Jane Smith,Q11WKBZR,130.05
Sophia Williams,FCID5MU1,64.95
Sophia Williams,FVNV7GHD,60.1
Tom Brown,ON6JFG7R,93.78
Anna Jones,SXP2D3EV,20.41
Emily Miller,C2S3UZJN,57.83
Sophia Williams,PFG3XGK7,65.93
Sophia Johnson,V0XD0RZT,63.3
