This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Laura Smith,Z5MEH4OI,122.27
Laura Martinez,6326SUBM,54.98
Alex Davis,OH42IBBL,37.73
Laura Wilson,L4FETTO1,91.86
Mike Davis,VXOPX00K,98.91
Mike Martinez,A82JWI7Q,97.79
Mike Johnson,B37JJ93M,71.04
John Williams,1I93Z35A,133.31
Mike Miller,MO8POOYS,21.72
Tom Brown,5V4ZBC7K,44.32
Sophia Jones,IM0VFFFS,33.63
Sophia Smith,3KR3FPXD,55.47
Anna Miller,LY16UONM,63.33
John Jones,ID266RWE,36.61
Sophia Smith,25ADMFYZ,90.37
Jane Brown,XM5GDPH6,129.94
Mike Garcia,O3L9X2A5,70.11
Laura Martinez,4W7S2LVF,122.63
Jane Brown,BOF89WC6,51.26
Alex Garcia,N1H51FY9,57.18
Mike Williams,1ZQP8A84,92.86
Emily Miller,AIO6BY15,92.46
Anna Smith,NUD5V28X,105.88
Anna Williams,6WCX3RIA,64.8
Mike Wilson,8KQ2535V,132.34
Emily Miller,VY6KIXG5,41.77
Chris Johnson,T22TQM5Q,126.91
Mike Johnson,9EUSYYIO,111.34
Jane Davis,ILKIU5LD,121.5
Laura Smith,182FY0OM,101.02
Sophia Jones,XS36KCS9,65.07
Emily Davis,BUH8BW2Z,46.46
Emily Williams,UA3UJOQW,37.47
Anna Garcia,0N7JLON9,124.46
Sophia Smith,XCHNGYRJ,76.15
Laura Williams,A26NY0JO,129.09
Emily Williams,K72VF772,111.67
Chris Jones,JTJUQKTP,86.86
Jane Miller,P2FI1TOJ,94.89
Alex Miller,R33HYDOD,83.97
Chris Johnson,CQEYDCBN,17.61
Alex Wilson,P1SVUQFW,28.12
Sophia Davis,GPG5NOI2,103.62
Anna Miller,QX5VSZQV,32.82
Laura Jones,G0IMYYN2,59.58
Sophia Smith,2MH2NIJO,89.11
Anna Brown,6N1XTTUV,85.6
Sophia Miller,QL67WTSK,80.71
Sophia Smith,Z8511SWY,53.99
Chris Jones,BOFQL3NV,67.98
Jane Johnson,J95C85HZ,117.17
Emily Williams,3O5HQ045,34.4
Chris Martinez,8MUSU087,121.75
Laura Johnson,WW4CLR46,27.82
Mike Miller,W28EWABZ,41.61
Laura Wilson,G0S8U42D,39.86
Emily Smith,OCZWZBY7,47.45
Mike Williams,SX1BZ0D8,61.17
Tom Davis,B6Y6YWPU,93.57
Emily Brown,K47830EX,72.5
Anna Martinez,55Q109G4,14.27
Alex Smith,VGIX865O,30.42
John Jones,O0LN7TV1,134.26
Alex Wilson,I3UBHF4J,17.64
Alex Smith,PEFOU1EW,20.14
Laura Garcia,3XE0QO2V,78.99
Mike Williams,1ZTIJKF9,85.64
Mike Smith,AFZH18UZ,62.67
Anna Martinez,5WJVKB2H,98.85
Mike Smith,CUX53122,78.8
Chris Martinez,RPV3KVT5,22.58
Alex Brown,C2XN978W,96.72
Sophia Martinez,RFVG81IT,95.31
Emily Jones,YW6IGAVX,58.24
Alex Miller,XZRJSH22,69.04
Emily Johnson,T0LHKTGW,72.41
John Garcia,2YLYALKC,120.7
John Miller,DRVAB8H0,134.63
John Davis,8CYNJ9ZB,118.79
Jane Wilson,75O0HOOC,39.75
John Garcia,IAJVR3HU,101.63
Alex Martinez,FRZS24L8,45.47
Tom Brown,7QX2VD8B,45.99
Jane Miller,DGEJO7Q8,89.81
Chris Garcia,TNI96FPD,40.08
Sophia Wilson,KNJSVK33,98.14
Anna Miller,ZOLRZT1L,91.71
Tom Miller,4AWD16LI,49.52
Chris Johnson,3502J0RD,32.47
Sophia Wilson,SQ9YEWWO,119.32
Jane Martinez,61SBDX3I,31.34
Emily Johnson,NK4ICC0S,85.83
Sophia Martinez,SGZGEYHK,43.66
Emily Johnson,9H3M1SUL,71.42
Laura Brown,VIMTY2U0,62.74
Mike Martinez,NJCPH36I,65.82
John Jones,TDC964FF,21.24
Tom Martinez,04GMCMKJ,57.29
Tom Brown,8JUUHT6O,54.85
Sophia Wilson,U7643MLN,28.95
John Smith,C2FP1PGF,124.85
John Williams,ZEIGY9YK,97.91
Sophia Martinez,H4RIZ0HG,14.83
Jane Johnson,S9WZ26L3,61
John Brown,HIMYLP6W,75.59
Anna Garcia,9EGG7HPR,33.73
Alex Johnson,ZEP8F2PE,118.94
John Smith,7YU3IA4H,104.24
John Williams,2R9LBUH0,77.42
Sophia Brown,T9WLJ50M,69.81
Emily Garcia,5F3BCZW4,66.14
Sophia Garcia,F4N54VXR,57.02
Mike Jones,JA73K1IS,57.05
Alex Martinez,55Z5BVG5,120.86
John Wilson,DE6AWO81,114.38
Laura Smith,S02YN10M,109.96
Sophia Martinez,IEL11AVJ,101.33
Jane Miller,2SSO5SEF,37.62
Chris Johnson,J6GCUFEY,120.17
Alex Johnson,AQSV6NSC,111.99
Sophia Smith,Z3B7ET1B,102.23
Jane Johnson,75C3HOYO,124.86
Alex Martinez,5NND6YAW,103.91
Tom Martinez,FN2IFHRQ,13.25
Tom Jones,6GTFH7K1,92.72
Mike Garcia,LTLFSZGJ,84.17
Laura Smith,CJELMZBI,83.82
Laura Davis,LF0H3QDY,91.65
Jane Brown,XVO18C4V,122.98
Tom Jones,HD2IR9P4,41.28
Chris Garcia,ML4IXV4M,66.78
Mike Smith,O3MO9489,23.29
Emily Williams,QKTZO64Q,42.57
Laura Martinez,SD87KVF3,20.01
Jane Garcia,I7IAYN5N,52.48
Chris Smith,A90LQAWY,90.81
Chris Martinez,VUD74JSH,54.81
Jane Williams,D0TCBXLM,24.45
Sophia Garcia,UAGSV7C4,36.06
