This file contains sales data for the month.,,
"Each row includes a customer name, product SKU, and the sales amount.",,
Please note that this data is randomly generated.,,
The amounts range from $12.99 to $135.45.,,
Ensure that data is reviewed before using for reports.,,
Name,Product SKU,Amount
Laura Davis,398XTIN9,100.75
Tom Garcia,GEP8QG8Z,16.97
Chris Jones,0695INNJ,83.1
Laura Johnson,UOO1JL86,77.32
Sophia Garcia,KYLJ4H47,53.25
Laura Davis,1IRGBD0X,32.14
Mike Miller,NVMQ8GK0,41.29
Alex Miller,GCERCTXM,105.21
John Martinez,KC99RBGH,75.22
John Williams,BACJW8GJ,71.56
Emily Williams,E8TKVWZZ,29.32
Anna Smith,KOG3SRP4,32.03
Chris Johnson,3K30KTYV,79.83
Sophia Smith,EPSNDVPE,117.31
Chris Brown,UMMFKTC4,67.45
Alex Brown,XDE3QX1I,68.69
Tom Brown,KRVGI6N3,17.32
Anna Brown,NYNFT7DE,126.23
John Davis,DBKKEL8O,26.77
Chris Miller,JC54C1AT,25.78
Laura Miller,FCX9BZJA,98.27
Alex Smith,7X4505SR,19.12
Tom Martinez,T92BSO7Q,86.46
Anna Williams,G21S0IL1,105.89
Alex Jones,SRW0TWDO,89.64
Laura Wilson,JO7LUQLM,18.94
Tom Jones,EGDEO8LA,101.23
Anna Martinez,T18PP8SU,28.4
Tom Brown,BRWRGSQB,109.39
Jane Johnson,E9KTRA8L,132.45
Alex Brown,SQYE53JS,95.66
Tom Brown,5C0BEBI8,80.27
Anna Brown,4I48BD26,94.2
John Miller,LVQ935RZ,28.4
Sophia Davis,ML55CSCR,93.44
Tom Brown,DJNIVZCZ,86.56
Alex Brown,WO3BGNY1,103.25
Alex Martinez,NBB19V9L,103.39
Sophia Johnson,9ILYKAWU,134.14
Anna Wilson,K5GJKI0D,63.83
Laura Miller,QSRUV6BO,37.84
Chris Wilson,CBZV8D4J,22.63
Alex Miller,O89Z01R6,124.55
Jane Brown,IUBHR4VT,58.21
Emily Wilson,OIEBXUSA,105.86
John Wilson,TM5W8DFM,79.35
Tom Smith,EVTY8NJH,79.18
Tom Garcia,7KJXQZ1X,92.35
Mike Davis,8W4EPXQT,34.46
Chris Brown,JI9PNKJM,48.14
Anna Miller,Q16PD3LZ,27.85
Sophia Jones,342YIBUC,57.53
Jane Smith,PQ8JCJLA,74.69
Tom Jones,CM37VGR8,82.34
John Wilson,QF1BECLY,44.01
Mike Garcia,6O2MK6I6,38.91
Laura Jones,D077UCHI,91.51
Anna Jones,E9BD8ZP9,95.67
Laura Jones,SH7JUCJE,74.07
John Miller,7GATHJLJ,25.82
Emily Garcia,IGRAY96W,112.38
Anna Garcia,7560UW0A,104.62
Mike Brown,5P8B7EEE,55.32
Jane Smith,Y5W3JUPG,121.04
Mike Miller,KWY0OG84,35.6
John Williams,HJ847OOJ,78.73
Sophia Jones,NJJU8ZPK,81.01
Sophia Miller,U0SFFUGE,119.13
Emily Miller,CQQ69H1T,120.35
Sophia Jones,3MHK4IC5,51.97
Emily Martinez,X6DQE7FV,48.17
Mike Martinez,572SM6II,90.2
Chris Williams,0AYYKY8H,61.91
Laura Martinez,ZCT23SF9,118.31
John Miller,I2LABH0U,45.13
Anna Wilson,S4XZANHQ,134.6
John Wilson,I0CAJC26,13.5
Jane Garcia,UU1MNDU7,46.03
Mike Smith,6LRWPOMX,88.65
Jane Brown,ESJVXA0E,112.85
Jane Johnson,70N3U4KT,117.05
Anna Martinez,7ZEXPO42,130.91
Mike Miller,NV31QLFF,33.82
Emily Garcia,SMC9EI2P,95.47
John Williams,LOM9S33P,19.63
Jane Johnson,C7MLXY9V,103.08
Alex Wilson,94ACRBY5,65.36
Jane Martinez,C1DIP4OW,35.46
Mike Johnson,FJZXG75Q,117.72
Chris Garcia,U7MS4LSB,79.37
Laura Garcia,ZVGX3MTZ,51.09
Anna Williams,RKYAOJVH,50.79
John Miller,C88QYO27,38.85
Chris Johnson,97JGEWB3,88.29
Jane Garcia,EQIJHLYC,120.58
Mike Garcia,IJMURVBS,58.47
John Brown,VHQY2V9P,28.98
Laura Davis,URWL3O1X,16.92
John Williams,8H48H10B,57.94
Jane Martinez,FXGRU6NQ,20.42
Anna Smith,OTS5GIYJ,43.85
Emily Jones,YI00TV95,91.4
John Jones,B6P0MRRA,78.7
John Williams,E7ZOLF4T,61.35
Anna Jones,HDBGJPKN,40.82
Sophia Williams,R9YD4NK6,73.22
Mike Brown,W3DJHZHW,30.05
Sophia Johnson,8GLG3CH3,32.65
Anna Davis,C3I6PZNX,13.4
Sophia Brown,ZDYA5I10,97.41
Emily Williams,SSR6N9YI,98.5
Sophia Garcia,49YZ6G5X,129.73
Sophia Johnson,NXBIGP5U,33.76
Anna Williams,AXQ8ES4B,112.31
Sophia Brown,W2WW99NS,82.85
Mike Martinez,FMNV0HH2,127.66
Jane Smith,5A096JR2,75.8
Tom Garcia,7QVLI1IO,119.27
Emily Garcia,4RZM04EJ,36.63
Tom Johnson,JA5Z6E5Z,59.02
Anna Johnson,2NSXA6GP,125.75
Anna Wilson,69VF9NXQ,65.07
Alex Miller,UH8PAM4C,96.65
Jane Johnson,RB0BH0HB,78.66
Anna Davis,WVNW1IV1,106.49
Chris Johnson,98Y5L04J,133.1
John Martinez,YTAKF78F,104.36
Jane Brown,I57QCG1E,39.79
Chris Wilson,0TZE6N6T,62.64
Laura Brown,K0BOUOGT,78.55
Sophia Garcia,V159RX14,115.27
Chris Smith,2021S1M4,38.36
Alex Jones,JUN4ZV7B,108.59
John Williams,Y56EQ4IB,41.53
John Jones,E6RETZL5,84.49
Alex Martinez,MI6GJ6W7,72.75
Tom Brown,P5NB86JG,105.11
Chris Jones,3VGVD7TJ,41.11
Laura Garcia,VIFRCB3B,29.3
