Name,Product SKU,Amount
Mike Williams,4NYV39O7,120.44
Jane Martinez,3QBTU5HY,30.06
Laura Brown,EYC35ABN,69.57
Chris Smith,LCD0XX20,31.47
Tom Johnson,SC1GTJHU,20.41
Jane Miller,B0RYZX68,33.5
Sophia Martinez,5YFTH9OA,86.09
Laura Garcia,QQZHWGN1,78.19
Jane Garcia,ZV0OWRDA,128.52
Alex Davis,5MVMR5Z2,78.16
Tom Wilson,3R950ZGL,115.27
Laura Brown,LG21QJO9,72.31
Laura Smith,DF45NIKA,134.62
Anna Miller,FWO0LY4L,83.27
Emily Johnson,MO2V98Y9,66.84
Emily Williams,EE4W1RCQ,64.11
Emily Wilson,Q8DRNJD7,72.45
Mike Johnson,A6ZLTCAK,117.29
Tom Davis,K8JKI3JY,29.06
Tom Garcia,8IR36GG6,58.5
Chris Brown,5DHECT42,83.11
Chris Smith,HHD0BV3O,128.53
Anna Johnson,IJISFRFC,89.08
Laura Brown,6DYQOCYK,75.38
Mike Miller,DUAHQ212,57.87
Chris Smith,HRLN763P,123.49
Chris Miller,RKU5LCOW,40.36
Alex Miller,2UDIS1AM,17.89
Anna Davis,10NOC3MQ,119.07
Chris Smith,ODHPCRTF,13.45
Laura Miller,ALCN98ZY,88.58
Sophia Brown,OHP9QV3Y,87.98
John Smith,RYMB514H,41.72
John Miller,LL392XCR,14.34
Emily Martinez,TDYNL1DW,41.0
Sophia Martinez,I583X0WB,31.81
Anna Jones,TTUE24GY,31.51
Jane Williams,YWCYCNVQ,72.48
John Williams,YC99U7QJ,125.8
Laura Johnson,AWAJICSH,54.03
Sophia Garcia,QMTHRWX7,95.96
Sophia Garcia,VCSQ6LNC,71.97
Mike Brown,ARPUDWJN,29.18
Chris Williams,1F5G6IBY,95.59
John Johnson,PHWOJTKI,115.77
Emily Brown,KHO2VX52,101.78
Sophia Garcia,KLLY6412,66.76
Laura Jones,662BEBDM,31.35
Chris Miller,QUD8LQ24,95.04
Anna Garcia,VWT6ZOJU,97.71
Laura Johnson,C14HQPQK,40.59
Tom Smith,DLGQ6RWM,99.94
Anna Martinez,UKXNVDRD,43.73
John Brown,NPLNI013,99.85
Chris Brown,7XZHX7IR,37.68
Emily Jones,ACZABQGF,65.96
Alex Brown,6RO25F7R,27.38
John Johnson,WO217134,17.32
Tom Williams,0X0DPKQH,45.09
John Williams,QIHU5OJ4,71.39
Jane Davis,KS6X7T77,70.63
Alex Garcia,7QOEVR8T,88.75
Tom Martinez,5CMCMSXF,34.21
Anna Wilson,UC4N6LQG,43.0
John Johnson,TKTIAANN,66.53
Alex Johnson,TJK3QXZZ,58.16
Emily Smith,GGNPB5W1,57.78
Sophia Garcia,U4MR7KGY,62.77
Tom Williams,4S43HC0S,97.74
John Martinez,O8INDH7Z,29.89
Anna Smith,6DME0NUH,106.71
Mike Wilson,O8D6RMKY,91.75
Sophia Davis,J01GTJ4L,118.61
John Davis,BEBZPMWI,15.52
Laura Garcia,2RG7AXZ0,58.49
Alex Brown,58B583BR,29.88
John Martinez,VGVUAWXR,59.25
Alex Williams,A69G6LLZ,113.28
Anna Martinez,8TIUAF4R,38.02
Anna Davis,JPJ5PD0Y,56.38
John Johnson,E7RZT2TF,83.01
John Johnson,MI7O6Q5G,88.02
Mike Martinez,8E6JHOCM,92.88
Tom Smith,O1IRV2HG,115.27
Laura Miller,7LNC4F31,123.63
John Martinez,NQZ8HXL6,48.73
Tom Jones,X6V1WR6N,81.2
Anna Smith,83QGXHG3,98.84
John Davis,4E6WY9UZ,15.92
Emily Jones,DC9ODTVV,44.44
Emily Wilson,C263SNWP,110.47
Mike Jones,TWPWJUDR,98.61
Jane Jones,5DI1WACG,130.9
Laura Martinez,G111XWSE,82.15
Anna Garcia,T6AO5BNN,29.73
John Smith,LSGBPFLM,46.74
Anna Jones,5H7YGRLF,81.34
Mike Jones,EZJTGC3D,98.77
Laura Johnson,MCD2R1HL,86.55
Laura Davis,VOG8NEMO,31.75
Tom Davis,2ZTEMMXC,39.38
Mike Miller,GB5JYJ97,81.55
Chris Johnson,GHQ6XTGR,76.67
Emily Jones,NLDZQPGS,95.76
Emily Miller,LWYWFA68,28.09
Chris Smith,4XO2GV4G,131.46
Sophia Wilson,E1H3D7ZI,122.47
Mike Garcia,0P5RB300,135.41
Alex Jones,EGV7PUMA,65.67
Emily Jones,EZOUKRPB,61.03
Laura Davis,GQ7ZGP87,48.13
John Garcia,P6EMMBRM,87.1
Sophia Johnson,E4NT404R,129.92
Emily Martinez,0ERP8W38,37.26
Alex Davis,CW420XST,40.78
