Name,Product SKU,Amount
John Johnson,V1T3QDIQ,118.67
Jane Williams,FYB8FP7O,91.79
Jane Martinez,RGUEPGTJ,127.73
Alex Williams,XF6G9HKC,18.3
Sophia Martinez,WRKXNY13,71.11
Jane Miller,Y059RQOQ,14.41
Anna Davis,I5W9820X,101.36
Emily Davis,B34PI9BC,79.33
Mike Wilson,WA3XOXM2,24.03
Sophia Martinez,K9HH6E47,98.04
Alex Davis,FIAPFDZB,90.89
Tom Smith,Z8RNZD6W,78.81
Sophia Jones,LGAZOOZN,35.03
John Johnson,6Q2R47Q4,65.76
Alex Miller,3IDNHRT1,19.87
Chris Smith,OBXA0EV4,67.48
Sophia Martinez,3NI338IH,91.34
Emily Johnson,NUNVB3G7,82.46
Emily Martinez,OKGLY6SD,100.27
Chris Brown,O6CFXUSS,84.45
Emily Smith,2BHB2SAE,116.91
Sophia Garcia,ZSCAQACK,110.18
John Brown,7SZD06WS,34.74
Chris Wilson,2A9JKWQM,126.5
Chris Jones,WSHQZEVG,55.17
Anna Brown,ITDYI3PQ,20.38
Emily Brown,ZTCY0VNG,32.77
Alex Martinez,3Z15M9M8,51.18
Emily Williams,92FCVULQ,84.13
Laura Johnson,FKVHF0A7,125.62
John Williams,7F7RGDNH,132.18
John Smith,ZXHVKBEH,14.16
Laura Williams,TO7FOL48,107.4
Alex Jones,GS3QRQUW,117.67
Tom Jones,JAL955DJ,83.65
Emily Williams,C1PPKKAV,16.21
Anna Johnson,6KJSCUBW,99.85
Alex Garcia,7R5TMTO0,62.01
Chris Martinez,ZPMAXFJ3,47.53
Tom Garcia,FJETZ9BW,95.03
Chris Jones,NJX9JMDI,50.3
Alex Davis,J1LKI6GZ,115.57
Jane Miller,WPVITFHC,52.73
Sophia Jones,PDWNGCP7,77.56
Chris Wilson,AGUULQCW,60.56
Emily Williams,10TI2S22,66.13
Jane Davis,4CX9TSDG,134.88
Laura Davis,T4B9T7RH,38.49
Anna Martinez,OMXQYKOR,109.66
Alex Martinez,ZB0YVWBX,85.51
Anna Wilson,92L30A7Q,103.58
John Miller,KF1864EV,16.1
Chris Smith,L245ZBEC,117.81
Emily Jones,Y520BB5N,127.47
Laura Martinez,LCAYISYH,38.34
Emily Williams,7RCJBLYP,89.76
Mike Williams,NS9KAN2W,123.51
Alex Brown,T6OCGN6L,75.1
Alex Miller,ZSCJZF74,92.21
Chris Brown,JYE5JVT4,74.12
Tom Martinez,KMNJZS5B,17.53
Anna Smith,D1CINW8J,32.34
