Name,Product SKU,Amount
Emily Davis,B2JZ7KBN,17.52
Alex Davis,G9FOAKMD,21.63
Mike Martinez,U22A0JTE,125.93
Chris Johnson,THM80IMU,68.54
Alex Brown,R5SGZ1LJ,109.43
Laura Smith,PFMPI8P4,30.05
Sophia Williams,9TLRBUDL,52.06
Mike Brown,M0IID02G,75.83
Tom Jones,ODCTSRTO,96.92
Alex Smith,4W93K9P2,33.23
Jane Martinez,ZZJLINQA,35.28
Laura Wilson,GD4ICUFV,61.59
Chris Johnson,WEOEIM0A,100.53
John Garcia,WDIJFNN0,124.83
Mike Martinez,ZKOC3CUQ,97.4
Laura Garcia,DSGPJ8NP,84.65
John Martinez,HYHQNIIU,28.41
Chris Miller,6Q4GB6II,96.92
Laura Martinez,SJ2ISM6N,31.44
Tom Davis,K03AM4V9,28.6
John Miller,G0S88BDI,93.81
Mike Williams,Z9ZVBDV4,66.82
John Davis,Y2EN6I4V,29.17
Alex Jones,QZHOIRN5,40.54
John Jones,PV7N5MAO,119.49
Emily Garcia,HJQY76R2,115.2
Laura Miller,XPF6BLXI,91.74
Mike Brown,U4MP2T1Y,88.03
Chris Garcia,CK4XSXTS,126.08
Tom Martinez,R8LVVORF,128.47
Mike Garcia,TCQRSTCU,93.46
Sophia Williams,LNRY7HR2,35.61
Emily Garcia,ZL7NQGD7,65.13
Chris Miller,AYPKRZTX,59.63
Emily Jones,XV46DLE3,28.04
Jane Wilson,AOT0L4VI,15.67
Sophia Davis,AXUPR7BW,50.49
Chris Wilson,48JXZSGM,101.4
Mike Miller,79ZOGZIW,53.63
Alex Miller,394TJI8Q,20.6
John Davis,W2P7WWHM,40.01
John Martinez,70PKR5OQ,68.99
Chris Brown,I16N3V89,15.69
Laura Brown,9FOASLOI,100.15
Mike Brown,93I5HQE1,15.33
Mike Johnson,1SOJDOIW,20.25
Jane Jones,IHBINXXT,81.15
Alex Garcia,HCPLXXID,45.73
Mike Jones,BPSKLTI7,123.22
Anna Garcia,WYN4TEC6,85.73
Anna Wilson,812RWQXS,96.4
Laura Williams,YIKQQFFJ,87.1
Jane Wilson,U2XTODG3,37.11
Mike Johnson,Q3O118OS,51.42
Laura Garcia,R7CK62H2,20.56
Chris Jones,BQ2AYSN0,51.08
Mike Davis,JAZBG91E,134.13
Sophia Williams,Q9ZD8N19,23.14
Laura Johnson,4NX7W09L,99.17
Jane Davis,IEQ2F1QB,108.11
Emily Miller,X4HY57UK,53.58
Sophia Jones,JZF5ZMZI,92.65
Mike Smith,7EY20OZD,98.22
Tom Miller,ADDMIA9G,81.26
Mike Miller,W5IMONST,75.18
John Williams,2ROU5K20,76.43
Sophia Johnson,WAVMAKPI,129.2
Tom Brown,BLCGQJOO,69.02
John Smith,V6YF4U0W,68.41
Alex Wilson,5ZKXU46Q,57.51
Anna Brown,A2L6TSQN,94.46
Chris Brown,Z6CYBKG6,48.4
Mike Wilson,WRUJZGC8,124.05
Laura Williams,Z8W9EM3C,27.28
Emily Wilson,L10PF5GJ,86.22
Tom Jones,WO8Q7JZZ,127.36
Chris Johnson,CUU6ISS1,94.99
Jane Garcia,UD58ZNRP,115.25
Laura Williams,IZSHZ3EB,107.37
Sophia Brown,0ZCS167B,13.38
Mike Martinez,HKY68C8Q,63.57
Anna Johnson,X0LVYG8B,40.0
Sophia Miller,LJ93AIRE,88.72
Anna Wilson,9AQOBV3H,14.56
John Smith,0VKVAF8O,95.52
Jane Brown,ORY59KOB,64.64
Mike Wilson,UF44IQYS,26.82
John Brown,ODDBU4X5,69.13
Alex Wilson,FP1ZFENB,110.96
Anna Miller,D22VLU0Z,77.05
Alex Miller,XX3VLJ5I,49.8
Mike Brown,RD3A6E2X,133.81
Mike Martinez,TZC0ST1W,21.86
Anna Johnson,KQNSW6BS,38.51
Laura Davis,CIJMJSS7,33.16
Sophia Martinez,M8LYCFPV,61.83
Anna Jones,EEJD7PJU,28.05
John Wilson,T67EZ9DY,111.85
Jane Jones,Z38U4CV7,21.48
Sophia Johnson,8JC0OAOD,44.81
Mike Williams,ZM0UHSC1,49.05
Sophia Jones,8J8QGOE0,132.57
Mike Wilson,WCRFZ36H,99.82
Tom Wilson,HBCDU4PH,62.98
Tom Johnson,GMKUVGLE,64.21
Sophia Johnson,OPKCZ1P0,123.14
Tom Smith,INY012S4,22.57
John Martinez,M2O8HZQZ,65.81
Sophia Brown,DG7NNDFL,19.73
Jane Miller,5Q3O0VIF,108.25
Sophia Jones,T6I4QU0D,61.9
John Brown,3W13MIH6,84.75
Anna Miller,LJ3L0IZ6,113.88
Sophia Martinez,M16F3BNO,83.51
Tom Miller,C22KVJYT,129.1
Tom Davis,K9HTYB8M,61.52
John Garcia,CI15JV5A,72.61
Anna Smith,F63CYNWF,122.37
Alex Brown,HBAEBNKM,65.2
Jane Garcia,SBJ5ZOCG,107.06
Chris Brown,PC2QNURB,99.36
Sophia Martinez,G2Z3D3CV,27.6
Emily Jones,75BK91IQ,99.42
Alex Garcia,DH2N8FQ3,15.24
Sophia Williams,SWO7UICQ,100.77
Sophia Smith,2NQEUG7D,47.22
Laura Jones,IWXC6QX0,103.69
Jane Davis,JUXC8JY8,37.17
Alex Brown,42BGEU97,25.8
Emily Smith,OJ3RODCY,17.39
Alex Williams,RIZPP8XK,90.66
John Johnson,57NT3CD8,70.82
Alex Wilson,T0BT56HH,57.21
Jane Martinez,8X0I1O8Q,93.83
Emily Jones,Q2NOZ1M6,67.0
John Jones,PZZ3BIKG,50.82
Alex Garcia,1T4N1UNJ,60.85
Sophia Williams,A4G47FUX,116.89
Laura Miller,D5JBFR8F,84.02
Emily Garcia,P6NI86P0,125.53
Mike Garcia,ZP4RDEIP,63.18
Sophia Martinez,BSGJ5LL0,57.07
Alex Garcia,4DET2BYY,87.52
Laura Smith,RYXMM030,87.74
