Name,Product SKU,Amount
Alex Garcia,K2SUH3SM,109.51
Jane Brown,SL2BVF33,86.8
Emily Davis,CHP4SSMD,18.42
Sophia Smith,S6J1CZU9,32.2
Jane Garcia,JBYA29D4,78.58
Tom Miller,MEJ8ODXO,52.74
Laura Smith,9399PGNA,94.47
Tom Smith,8S3JE3QY,75.2
Laura Johnson,E5VM6NSO,59.16
Emily Wilson,2QH6LIYI,88.94
Emily Martinez,6S2Z0I9L,75.05
Jane Miller,BDKXHQEH,34.22
Mike Johnson,J0ZJBS6A,121.75
Alex Brown,JCJ1XMWH,31.49
Alex Jones,COMWW8CR,81.89
Jane Jones,TRZEKPUS,112.71
Alex Brown,XUSSSKLB,35.05
Sophia Davis,WGQD4CMW,128.92
Mike Martinez,UDONEG1U,78.43
Mike Garcia,S1N93V4F,80.11
Laura Smith,XXZPI4NS,29.41
Alex Brown,N2ICWQEZ,49.34
Chris Smith,MMN2266E,36.47
Mike Brown,N4M6IYNA,69.79
Laura Smith,93KIVB0G,114.36
John Wilson,IUHX3SZI,38.19
Laura Williams,6BGDGOLS,85.13
Alex Garcia,NN5RB9JI,90.87
Anna Davis,D1VJJ57R,133.01
Tom Williams,XO3VN1MQ,107.01
Alex Brown,DZNSZ531,55.37
Chris Garcia,ITY60PUM,26.69
Jane Williams,430D9V1G,72.76
John Smith,MXHUGQYP,116.84
Emily Miller,0S0TRJUH,81.78
Jane Davis,4YXIK7WC,49.28
Alex Wilson,9TP7DGVX,50.51
Sophia Jones,SMJIZ31K,102.91
Anna Martinez,7CCK7UD6,90.86
Anna Johnson,6ZW32GT6,38.23
Alex Williams,5C18XP92,20.65
Alex Williams,R2ZASDSQ,38.17
Jane Davis,2ZTXFZMZ,19.97
Tom Miller,E6O2Z1EK,67.04
Tom Martinez,W5STLYTT,86.4
Emily Johnson,12QDAMXH,98.14
Anna Brown,PNIVJZ4Q,16.02
Mike Garcia,GCBDC3G6,114.01
Alex Johnson,N6VXV4NO,91.03
Jane Smith,PV7YP3NA,25.46
Chris Johnson,81SKSKKT,126.41
Laura Johnson,WMNMXF6U,23.53
Mike Jones,HTRXR5A5,118.11
Tom Davis,LS09VRI2,106.87
Jane Williams,ZYU6MQHB,80.15
Mike Davis,YS10SO71,65.35
Alex Miller,G6UVCKJR,77.78
Tom Williams,AGTMDWJ5,16.92
Emily Garcia,UP7LWREJ,13.36
Laura Garcia,DXT1Q0RO,48.19
Laura Smith,S8JEEZV1,47.64
Laura Davis,1OCTNJJA,128.87
Mike Smith,RS7D63IE,126.19
Anna Smith,5L1NV7KV,94.06
Chris Wilson,BYOFNYYX,124.83
Chris Brown,VPNKAKG5,67.82
Mike Wilson,8Z6OKU2H,72.58
Mike Garcia,9XVY80EM,85.88
Chris Jones,43GENRBB,39.28
Mike Wilson,LU2M9LRF,128.09
Alex Brown,BDR2RKVC,34.37
Anna Jones,5CNNVOPS,132.93
Mike Brown,4YF7LJBI,32.95
Alex Brown,ZDB649JG,78.49
Alex Martinez,RKWC64HM,20.29
Alex Davis,DRM6TNTF,84.28
Jane Jones,2JOII1IA,96.58
Alex Garcia,KW1MM3TK,36.58
Emily Miller,0CVMI9CK,82.09
Alex Johnson,3965JWZ1,103.91
Laura Garcia,OI9BN24R,114.49
Laura Williams,P2FRQK81,90.0
Emily Johnson,E7V46L97,62.96
Sophia Davis,2JOVE52B,60.64
Mike Johnson,IH70ZBZW,115.64
Tom Jones,OSLWNRSF,75.18
John Smith,42ZVDXJI,63.56
Laura Johnson,YH3MRQYY,91.76
Sophia Jones,WIPWO037,30.91
John Brown,WTQOJUC2,95.82
Jane Johnson,RADQ49DQ,134.47
Alex Jones,VZVBYJYS,89.18
Anna Smith,P5NK41V3,114.09
Emily Jones,8MMBAUPZ,13.81
Sophia Miller,VOHNZE0F,77.01
Anna Williams,GPP9PSUR,111.95
Tom Johnson,6Z716N98,85.33
Anna Wilson,A1KFU13D,63.7
Laura Martinez,W1C8K8U8,21.46
John Brown,9UYMT919,113.92
Anna Williams,1LCDX0VH,21.19
