Name,Product SKU,Amount
Sophia Brown,HO7G7Z2B,70.1
Sophia Martinez,03W6HH63,87.12
Sophia Johnson,R0YI1AY2,36.16
Sophia Johnson,B2BD5KMW,97.0
Chris Garcia,2V8QLVQI,71.06
Chris Davis,IU8WX3EQ,116.42
Tom Williams,LCZIWMBE,107.1
Chris Martinez,QYPOHLJ5,93.19
Alex Jones,WCK73F6S,110.44
John Williams,EVWGRR3D,38.82
Alex Davis,7RX1E7NT,30.15
Mike Williams,RESBERM9,71.0
Mike Martinez,QBYSS7ZK,72.23
Sophia Miller,HQTDV58F,66.19
Chris Johnson,2WZ4KJQV,83.3
John Wilson,6NUMQYL5,99.82
Laura Miller,19AQOZB0,109.58
Chris Brown,6D2EPEAV,89.09
Anna Miller,11GESY20,42.96
John Martinez,0TU6XZ9L,96.0
Jane Wilson,WJBSVYXB,121.4
Anna Smith,IA79ZZ3E,70.34
Laura Garcia,QGN6MPRK,134.13
Tom Smith,R9815B9W,40.43
Sophia Johnson,Y0S4MOD5,117.75
Jane Johnson,Z2YTCS5U,45.59
Jane Miller,MB61EX4J,78.52
Mike Jones,4U0WIPBE,103.67
Anna Garcia,JLUBSAF1,98.46
Jane Davis,HCZD3UNC,122.23
Sophia Miller,IYETAIZT,42.09
Emily Miller,87YBMWOL,47.17
Emily Jones,D7O01AYQ,24.94
Anna Wilson,Y9YLDPUV,29.93
Chris Jones,T8KQ4R7B,76.96
Alex Wilson,TAFMS0NO,60.08
Alex Miller,4SHIM312,107.31
John Garcia,8IR3CW9P,102.22
Tom Miller,T093ZDHS,99.19
Emily Martinez,ONNN1T7F,88.32
Chris Wilson,CYX56AJH,132.33
Sophia Jones,AIZ3U4OX,99.14
Alex Wilson,L2BMXVCJ,73.84
Sophia Jones,KEIATNPK,100.47
Chris Davis,NHH952SC,14.18
Tom Wilson,ES5K98CI,18.05
Alex Wilson,LP3SV2Y6,84.21
Mike Garcia,GVMLMRP6,134.05
John Williams,JO8NG23R,16.87
Alex Johnson,VF0MKNTW,59.71
Sophia Brown,6MDY9M3I,84.94
Mike Smith,WXJHZED4,34.37
Tom Miller,7E0DYQKK,94.05
Emily Garcia,HPECKKV2,20.98
Jane Davis,9THDCIRS,88.11
Chris Wilson,ONNWOSJB,37.57
Chris Williams,V1WKRX93,78.32
Emily Wilson,4EFV02VN,80.06
Anna Martinez,3MU3J6SA,84.6
John Davis,FPDF2HO4,119.84
Sophia Wilson,7KOUJJC1,16.1
John Johnson,QR5HMLVU,105.83
Emily Davis,8GB90124,50.2
Laura Wilson,IJHR3540,22.77
Jane Smith,7WLQX2DE,127.63
Emily Johnson,3EZZ7UNV,48.77
Anna Brown,15N9HZHV,95.31
Anna Smith,MW6II4TU,45.48
Chris Williams,4BL4BWR6,133.29
Alex Davis,G3NJNLOJ,64.02
Anna Jones,8V1UDADS,73.4
Emily Jones,0IOTWVKX,105.42
Sophia Garcia,KD7VQMJ3,82.35
Mike Garcia,NIU19GSH,56.73
Jane Garcia,2BXUV1ZU,83.26
Laura Miller,O6VTPPSR,77.34
Chris Williams,VEJ28X14,85.51
Chris Jones,CGI3ILXO,97.86
Mike Brown,5HVFE2BU,97.16
Alex Smith,I1FYXI4E,62.89
Laura Jones,LAQMWF6W,77.51
Alex Williams,T26LCPEL,99.17
Mike Smith,1OBBAIYI,124.38
Tom Williams,U6CUZ7DD,86.14
Anna Williams,EINJN8W2,56.67
Tom Brown,HUMN3CR9,124.18
John Brown,1JF5Y5LG,105.75
John Wilson,0AL3SHJS,16.17
Jane Smith,2BE100TQ,117.93
John Davis,70ZZDLDL,15.21
Chris Johnson,Z37G1WD6,130.54
Anna Smith,7E1GE9VR,55.17
Tom Williams,WDVWZH4U,95.16
Emily Smith,O2QDY6YK,87.47
Sophia Martinez,XS85RFJ4,120.85
Emily Jones,RHCMIS0A,117.99
Mike Davis,EYTQF038,105.42
Emily Johnson,NIGKINDX,22.07
Tom Garcia,7CJDN354,75.1
Anna Williams,YX7D3GI5,32.4
Alex Williams,MDF39KB0,47.24
Laura Brown,0BG0EHYS,53.48
Jane Smith,J9BNNAYN,39.26
John Wilson,KT3UXEPH,77.16
Laura Davis,G68UXR58,81.74
Jane Jones,2G8P91CD,66.13
Mike Wilson,74LM3Y9E,38.27
Chris Wilson,5T0O4RMO,99.09
Anna Garcia,1OO8VNXN,124.06
Chris Brown,WNP167CD,85.02
Anna Brown,CBLD8KVQ,28.91
Jane Jones,8GYRFPLT,35.7
John Williams,9P5BYFRQ,96.95
Tom Wilson,W2ITPRYU,56.62
Anna Smith,TJ0GQ6JL,66.08
Emily Brown,FTIFBU0K,100.05
Chris Smith,3DTQ4JJU,36.52
Mike Davis,T5ODUDW3,22.14
Chris Garcia,C0IX38ZY,124.65
Mike Williams,1G2C26A2,87.14
Anna Brown,CEO0CKSM,91.45
Alex Johnson,8CLHUYOD,25.72
Mike Williams,NYZ1RJHZ,126.78
Anna Martinez,3NODWKDO,14.3
John Martinez,9S3OHLGS,85.71
Anna Jones,KF6M4LUF,62.35
Tom Wilson,MFSJVWSM,97.49
Mike Garcia,HER13JIZ,85.18
Mike Garcia,AXRZOK9M,98.82
Alex Williams,GX0V42YN,61.41
Jane Davis,HBCILBP0,91.95
Emily Davis,YS5OAS98,97.93
Emily Johnson,PRA6J75A,49.19
Alex Garcia,JE1FXDYR,87.47
Alex Wilson,BH03IUO3,33.9
John Miller,52VW21F6,30.08
Chris Smith,Z5Q9WJY0,13.05
Jane Jones,0DHFUTD5,88.97
Jane Williams,J6YRV5Z5,133.52
Jane Garcia,2UA4R29F,57.99
Emily Williams,ABXRTOXY,47.55
Laura Miller,D2MTA3KN,122.44
Chris Smith,NNT103CN,52.95
John Davis,9KIQ4478,17.85
Sophia Martinez,X54VYSCS,114.88
Tom Williams,55TRQBES,116.52
Mike Smith,T6CNAOG5,30.3
