Name,Product SKU,Amount
Jane Brown,E53PZE8T,32.58
Sophia Jones,7RGKU3O0,96.88
Jane Smith,ED98FGHD,20.88
Anna Johnson,0ASRMA9B,83.61
Laura Wilson,J5I4GSV6,96.69
Alex Davis,VXWKG1IC,81.19
Emily Wilson,GL17NOUP,115.35
Tom Brown,6TR21C32,53.56
Jane Williams,CZWY9UY6,105.54
Alex Wilson,F183QRGH,44.73
Tom Brown,FET9D7R1,70.44
Chris Wilson,YXN1E3I8,120.13
Mike Wilson,KRH6JTM6,103.24
Anna Williams,IHLXNMJ6,86.03
Jane Johnson,WN0JUHBJ,64.77
Mike Martinez,XR6EMU1Z,50.94
John Garcia,JBIUITKE,105.45
John Smith,BH94EARK,97.23
Chris Smith,X3JHRYSF,133.63
Mike Brown,WOVQWVOX,52.37
Emily Jones,LW9LTZ3Z,14.29
Jane Martinez,ZZOR9HTC,96.07
Tom Davis,VXZEGK11,87.02
Alex Smith,C0O5009E,59.72
Chris Johnson,RI2UW6A9,50.4
Alex Jones,RRUWKU24,94.93
Mike Wilson,F17Z7122,63.01
Laura Martinez,71IMYAZZ,95.5
Jane Miller,30TUDQZL,39.71
Emily Jones,PVA7GTYM,68.39
Laura Jones,V8ZO9071,99.67
Sophia Williams,FASAKSSU,64.01
John Smith,H2TES4OK,63.95
Emily Davis,Z592I4DH,37.56
Chris Johnson,HCHOVSAW,72.06
Anna Williams,2PT3S9EP,79.86
Jane Smith,QJRA1YXP,78.63
Sophia Miller,LQ47QCNV,115.13
Jane Jones,IY0GS363,98.32
Anna Davis,MPPK6S2T,95.45
Laura Brown,XZ8EYD4A,29.44
Laura Martinez,JBZ5Y2AW,108.33
Mike Davis,9VDANXI8,29.55
Jane Wilson,TN1XXG3Y,21.33
Tom Wilson,DK8OZKQH,99.15
Alex Johnson,ZQQEUL88,93.85
Sophia Brown,JRV8T9DT,13.27
Laura Brown,2E2174OC,104.79
Tom Martinez,7ZEX7U46,40.47
Mike Jones,R2B1VN63,34.91
Anna Wilson,NJGRJNH9,93.09
Anna Smith,JTQ3MM1V,90.09
Alex Smith,GPQ1U6KA,49.61
Anna Davis,4PWC74NT,102.33
Alex Davis,FU4Q7UQ9,134.46
Mike Wilson,UZHMXZ4A,84.66
Mike Martinez,9PY8ILA2,60.57
Mike Davis,WO8CMUJZ,83.96
Alex Miller,8ZIRNTBE,66.21
Emily Jones,KGQM6KR7,78.47
John Williams,57H88IBJ,74.45
Sophia Smith,0NTTUC5V,133.13
Jane Wilson,78A2HV44,91.92
Emily Garcia,FWNLJJI8,21.48
Jane Brown,1L3M4VPQ,118.09
John Jones,1SYD7SGI,67.2
Alex Smith,1P9AY71O,92.39
Laura Brown,YZWBF8MU,98.9
Jane Jones,QCNP5NND,100.41
Mike Davis,MVA8IY0G,98.64
Jane Jones,8I1YZQK3,26.09
Anna Johnson,HUQKR1KB,118.09
Jane Garcia,UV6NEAPX,52.42
Mike Martinez,41G9Y438,97.87
Alex Jones,2RRAE21B,77.4
Emily Miller,YE302AAM,13.01
Mike Johnson,Q8JM02YL,22.29
John Garcia,WHXPY900,77.04
Alex Davis,FE4UVP49,36.12
Chris Martinez,28U314Y0,39.87
Laura Wilson,FC2O0Z1M,86.71
Laura Williams,B0XSVI35,126.49
Laura Jones,UOEYPKTN,108.12
Jane Jones,BUJZVJLN,127.82
Sophia Davis,BJK45E7C,43.82
Jane Martinez,ODASXBBM,95.96
Laura Garcia,UNFAXJ5P,56.58
Alex Davis,KWJD5Q6D,26.24
John Davis,G49L8M2V,60.99
John Smith,MKD4ZGT5,111.29
Sophia Brown,C169KUG3,37.7
Laura Davis,7MIF8BV8,133.9
Emily Wilson,N8E6D8LH,93.88
John Miller,31IZFJJS,49.24
Jane Wilson,RTWPMESS,131.7
Sophia Johnson,AD3I6A02,105.0
Tom Smith,H9F3AVRR,105.29
Mike Johnson,8CGEZQ88,17.93
Laura Davis,Q8IMOZQQ,89.55
Jane Wilson,VULOP13Y,100.33
Laura Johnson,5DGBFXOX,31.14
Chris Smith,ZIE7RGFQ,132.84
Anna Jones,LE308AXW,99.75
John Davis,TLOXFM8Q,57.11
Anna Johnson,XCTS2VQO,83.31
Alex Smith,ZW3GKJFB,88.26
Laura Wilson,KJMI7ERT,63.65
