Name,Product SKU,Amount
Jane Johnson,NWE1K347,39.41
Laura Jones,IYTHZCYD,126.81
Chris Smith,QNYQM0Y1,36.59
Laura Davis,61CMOOB6,110.69
Mike Martinez,MDDG22DT,106.92
Tom Williams,ZNUH61ZQ,53.14
Emily Williams,1XETWJS6,111.23
Alex Miller,33NJ9KEG,45.36
Emily Smith,YFWAWHPM,120.1
Sophia Martinez,T7D5DJZ5,88.07
Sophia Wilson,K6TTDP07,84.88
Tom Garcia,LNW6GW3P,109.2
Tom Davis,RRT0D8VL,81.81
Chris Williams,XNB2V1D2,47.79
Anna Martinez,0EXOTCBC,84.27
Mike Martinez,9DTX5O3Y,64.26
John Brown,UES7NDO7,19.71
Chris Johnson,1SCTXJO0,107.26
Chris Martinez,PE7UU70B,84.14
Chris Garcia,82PPNVBS,88.31
Alex Garcia,AIOH53MV,101.96
Mike Martinez,IWAEMHZ5,60.23
Sophia Wilson,DRNE3K2J,113.39
Alex Brown,9HZ2P27I,110.68
Jane Wilson,0J53DK6V,134.19
John Garcia,GLYIJP7D,14.42
Mike Brown,ATWAJPV6,56.63
Alex Wilson,0M7V8KOM,43.51
Chris Davis,H38VFRTX,25.52
Jane Martinez,AOE64115,63.97
Anna Williams,SJUJ0AV8,72.15
Sophia Brown,SZBSNUXA,94.26
Chris Miller,U43ES4TK,66.64
Alex Smith,X6Z05NXH,20.46
Tom Garcia,Y5BKAEPL,87.38
Emily Martinez,QYTS01HW,103.58
Jane Brown,036GZKEQ,131.54
Mike Wilson,VVLZE878,122.93
Alex Smith,W6T4HNWO,122.85
Laura Jones,VDCJ1Z9F,70.67
Mike Miller,8BUNSR48,128.51
Jane Davis,A3LZV77T,79.87
Anna Garcia,2AFWJR6U,117.09
Sophia Smith,8A8ICLQN,94.22
Chris Brown,TNGLSOON,129.96
Mike Williams,IVOYG785,108.88
Jane Wilson,UDUHYTF9,40.41
Jane Johnson,MZUZ7CXS,29.38
Mike Wilson,SJI7MDLN,27.75
Anna Davis,6LNG35OP,55.17
Emily Smith,R27CX3Z9,43.27
Mike Wilson,AQV3MUIR,33.67
Laura Davis,7UQCEX5C,94.18
Chris Jones,GYFC4C4A,68.47
Anna Johnson,XUT3Y8HG,87.33
Anna Jones,89WNKBJD,129.89
Alex Wilson,K6IIHA8G,119.34
Chris Miller,TV0JBU44,106.47
Emily Jones,7RC5PDAL,75.17
Chris Martinez,AZTXZT7G,36.78
Sophia Jones,9VZYEH43,32.38
John Miller,LVKU55KY,61.04
Mike Johnson,IZIUYE9Y,91.31
Emily Garcia,XDUAA9QZ,107.72
Chris Johnson,M98W82ZF,108.1
Laura Johnson,WH5HKQZ3,103.26
Jane Martinez,9SOJIXZC,81.58
Laura Jones,FBPATVF3,108.47
Mike Martinez,QH93KC9M,47.31
Sophia Martinez,YWJYRMS3,78.64
Jane Johnson,P73I5RVL,43.26
Jane Jones,YDWVKC1B,81.48
Alex Johnson,D134TODT,126.47
Sophia Wilson,Y4MSY6M7,94.87
John Smith,94UGZN8V,38.2
Emily Miller,322X0JT5,81.44
John Jones,LWPJBJHP,116.9
Alex Davis,FD4VJQ35,59.13
Jane Garcia,S2MXO62H,122.24
Emily Jones,61L612V3,116.75
Sophia Smith,CG8EZHK7,135.22
Jane Wilson,R4GFWWVZ,72.75
Mike Miller,MCCPXW0V,28.06
Emily Johnson,4CZCXZ3I,121.05
Alex Williams,KW55CHW6,99.64
John Martinez,5SH5AO3A,66.07
Anna Brown,0TER7MIV,41.08
Jane Martinez,2UA09OCE,102.84
Chris Martinez,B8N61ZQL,33.88
John Davis,OG9A6BFY,45.64
Tom Jones,7UWYHMI3,35.66
Laura Garcia,PE74T743,58.78
Tom Wilson,WNCI9VEB,49.86
Chris Johnson,IZNFN6AS,133.57
Emily Jones,8HCUC60Q,66.29
Chris Smith,CXYCZNZ3,115.15
Sophia Martinez,M49IT9H0,110.42
Emily Davis,37USLPDL,116.77
Mike Jones,TK3D4YRC,28.6
John Johnson,MAZS4LEP,69.94
Tom Smith,1RL3O7UM,125.93
Laura Wilson,R6YY7YXE,79.17
Anna Miller,PH1E43JO,55.8
Tom Johnson,Y4OKTJVL,26.38
John Wilson,OBTSVXU4,129.71
Emily Williams,OOH3OTE8,94.6
John Smith,BSJA8VRJ,54.6
Sophia Brown,6RZ7JC6C,99.2
Anna Miller,T2O8S73H,39.16
Mike Garcia,2XNIVI62,124.59
Sophia Garcia,MYKFRLUX,78.02
Emily Miller,1MHH4PEK,49.51
Tom Miller,O3ROV7PE,107.47
Mike Davis,SVKKHTNW,125.98
Anna Miller,8ETRQDML,51.8
Jane Davis,CABGQ2GI,68.86
Laura Smith,SBD0UTLQ,109.69
Alex Brown,KH73GKF8,39.96
Laura Brown,LHLK7SL3,128.5
Sophia Garcia,RW3XAL8O,71.91
Jane Garcia,W57A8BB8,131.13
Anna Jones,VHW9UCUT,89.62
Chris Brown,2VN8KFFB,93.59
Alex Davis,MQ5BZOVI,47.86
Anna Miller,8UCHT35U,111.83
Alex Martinez,ERYAIXQ7,41.24
Anna Jones,5GX4HVKV,25.56
Chris Williams,RBBU00MI,115.07
Tom Jones,POBTSPL2,47.01
Tom Martinez,5TJ24HXD,120.87
Chris Brown,H4ONPI13,130.78
