Name,Product SKU,Amount
Emily Smith,MV177GOL,102.58
Alex Garcia,6VOB0CB9,75.38
Laura Williams,CETP9JEX,122.35
Mike Martinez,J8OVR3FO,32.85
Emily Johnson,E7ROTE3G,80.31
Jane Smith,LEQSVHB3,61.0
Mike Miller,UWU2OIXE,112.79
Laura Davis,AWOB5MBT,105.79
Jane Garcia,YZWIEHZG,36.66
Sophia Wilson,WSFJ2ZML,26.83
Alex Williams,LX84G5ZS,59.82
Mike Williams,JQPHBOS8,65.47
Chris Wilson,O47SWPHR,36.87
Tom Martinez,9A2HPZ2W,26.45
Mike Miller,7YZKBSBN,123.12
Sophia Jones,GB7D3LUH,49.09
Sophia Miller,EVC0V1YR,39.66
Laura Martinez,CA598XOT,51.79
John Garcia,4ZXQFK6R,134.0
Chris Williams,CYC9SMOM,64.34
Sophia Davis,QJKNSEG9,63.5
Alex Miller,PZRK0LAB,47.82
Alex Williams,R5EG74ZF,82.63
Sophia Smith,WHXIDL0U,48.26
Emily Miller,693RRWO6,118.27
Jane Davis,WXVVXCBP,112.15
Tom Brown,Y8D7ZGNU,122.76
Alex Smith,51KQ3Q38,46.26
Anna Martinez,OGUY9AFF,89.11
Emily Jones,KFAIZ2X3,34.09
Mike Davis,N1SK3D84,97.28
Sophia Wilson,ATU0KP99,52.74
Anna Garcia,RKK3E8GK,37.34
Laura Martinez,8PSKPJZY,108.82
Emily Martinez,ZNJ7UYHL,72.69
Anna Miller,FKF77TZP,103.98
Sophia Martinez,8R5QX16Q,131.89
Emily Smith,EBL3MFXZ,109.05
John Martinez,YS4TGWKE,87.55
John Johnson,VNXFC6CB,100.55
Chris Martinez,JNRAI2XB,29.13
Mike Garcia,B97JTTCU,72.14
Alex Smith,U5V8RZJ6,117.96
Laura Smith,EOY14AYN,133.44
Jane Jones,3HBHZ5PE,83.87
Anna Smith,8K0A3HBO,28.24
Jane Brown,UHTWMDE4,71.93
Jane Miller,Q5T7JDYP,72.41
Laura Johnson,RR5KOSUE,50.42
Tom Garcia,UFGOMWIQ,60.14
Laura Wilson,HFPPSIAE,104.6
Laura Brown,LXNZ8L0L,70.78
Emily Garcia,TIIHTT3L,48.02
Anna Garcia,5HOSPXWO,88.91
Tom Garcia,ZI2GWIBC,61.46
Mike Martinez,DGHHPQ3P,13.39
Tom Johnson,WQLFFSS4,78.4
Emily Jones,9BT0OWPJ,103.81
Mike Garcia,T58SHOLX,46.16
Tom Jones,4Q79804A,97.78
Chris Jones,DYRU75IX,72.38
Alex Martinez,MN40P030,62.89
Emily Johnson,SROAQU60,20.84
Emily Smith,9JEHRO26,49.13
Laura Jones,6HT7AGXG,19.72
John Jones,95L3J3SX,134.46
Jane Garcia,01W7L0BF,132.37
Chris Martinez,7MTLVXBC,52.46
Chris Brown,HB2JULZM,119.15
Anna Johnson,24TW43MX,28.69
Laura Davis,6NRW7MXJ,17.75
Anna Johnson,44NKJ8P6,42.17
Anna Miller,GPZW8UGT,89.07
Anna Miller,WPNZU2Z8,77.27
Emily Wilson,YRJ9X7F3,118.94
Anna Wilson,O1B95RT5,117.29
Emily Smith,MLYUOSOQ,37.5
Sophia Jones,G2D3ANXA,16.3
Anna Davis,4A46ZT87,103.17
Mike Brown,OCLSWJYF,23.13
John Smith,OPKZE3YZ,129.03
Chris Davis,U8TPJ7V3,116.34
Anna Martinez,1LAONESV,91.72
Chris Garcia,RRWOZEVC,85.45
Mike Johnson,S0Q78BJF,81.14
John Williams,QNKK9AY9,98.22
Sophia Wilson,BXP77E42,71.12
Anna Martinez,B3RIGOMB,67.15
Chris Smith,D1QH8OOQ,36.99
Emily Martinez,DU6W9QGA,22.48
Laura Garcia,9FCZ6VX6,89.73
Jane Martinez,ON0IF7CB,112.96
Sophia Davis,GFQ1MEGY,45.91
Alex Smith,YMWXRF9N,58.22
Emily Johnson,TQOM7RRV,15.82
Anna Johnson,JZ896MJA,78.29
