Name,Product SKU,Amount
Laura Smith,YFARZO1Y,82.4
Laura Martinez,Z5MEH4OI,122.27
Alex Davis,6326SUBM,54.98
Laura Wilson,OH42IBBL,37.73
Mike Davis,L4FETTO1,91.86
Mike Martinez,VXOPX00K,98.91
Mike Johnson,A82JWI7Q,97.79
John Williams,B37JJ93M,71.04
Mike Miller,1I93Z35A,133.31
Tom Brown,MO8POOYS,21.72
Sophia Jones,5V4ZBC7K,44.32
Sophia Smith,IM0VFFFS,33.63
Anna Miller,3KR3FPXD,55.47
John Jones,LY16UONM,63.33
Sophia Smith,ID266RWE,36.61
Jane Brown,25ADMFYZ,90.37
Mike Garcia,XM5GDPH6,129.94
Laura Martinez,O3L9X2A5,70.11
Jane Brown,4W7S2LVF,122.63
Alex Garcia,BOF89WC6,51.26
Mike Williams,N1H51FY9,57.18
Emily Miller,1ZQP8A84,92.86
Anna Smith,AIO6BY15,92.46
Anna Williams,NUD5V28X,105.88
Mike Wilson,6WCX3RIA,64.8
Emily Miller,8KQ2535V,132.34
Chris Johnson,VY6KIXG5,41.77
Mike Johnson,T22TQM5Q,126.91
Jane Davis,9EUSYYIO,111.34
Laura Smith,ILKIU5LD,121.5
Sophia Jones,182FY0OM,101.02
Emily Davis,XS36KCS9,65.07
Emily Williams,BUH8BW2Z,46.46
Anna Garcia,UA3UJOQW,37.47
Sophia Smith,0N7JLON9,124.46
Laura Williams,XCHNGYRJ,76.15
Emily Williams,A26NY0JO,129.09
Chris Jones,K72VF772,111.67
Jane Miller,JTJUQKTP,86.86
Alex Miller,P2FI1TOJ,94.89
Chris Johnson,R33HYDOD,83.97
Alex Wilson,CQEYDCBN,17.61
Sophia Davis,P1SVUQFW,28.12
Anna Miller,GPG5NOI2,103.62
Laura Jones,QX5VSZQV,32.82
Sophia Smith,G0IMYYN2,59.58
Anna Brown,2MH2NIJO,89.11
Sophia Miller,6N1XTTUV,85.6
Sophia Smith,QL67WTSK,80.71
Chris Jones,Z8511SWY,53.99
Jane Johnson,BOFQL3NV,67.98
Emily Williams,J95C85HZ,117.17
Chris Martinez,3O5HQ045,34.4
Laura Johnson,8MUSU087,121.75
Mike Miller,WW4CLR46,27.82
Laura Wilson,W28EWABZ,41.61
Emily Smith,G0S8U42D,39.86
Mike Williams,OCZWZBY7,47.45
Tom Davis,SX1BZ0D8,61.17
Emily Brown,B6Y6YWPU,93.57
Anna Martinez,K47830EX,72.5
Alex Smith,55Q109G4,14.27
John Jones,VGIX865O,30.42
Alex Wilson,O0LN7TV1,134.26
Alex Smith,I3UBHF4J,17.64
Laura Garcia,PEFOU1EW,20.14
Mike Williams,3XE0QO2V,78.99
Mike Smith,1ZTIJKF9,85.64
Anna Martinez,AFZH18UZ,62.67
Mike Smith,5WJVKB2H,98.85
Chris Martinez,CUX53122,78.8
