Name,Product SKU,Amount
Laura Davis,3N2LEDLC,34.74
Tom Garcia,398XTIN9,100.75
Chris Jones,GEP8QG8Z,16.97
Laura Johnson,0695INNJ,83.1
Sophia Garcia,UOO1JL86,77.32
Laura Davis,KYLJ4H47,53.25
Mike Miller,1IRGBD0X,32.14
Alex Miller,NVMQ8GK0,41.29
John Martinez,GCERCTXM,105.21
John Williams,KC99RBGH,75.22
Emily Williams,BACJW8GJ,71.56
Anna Smith,E8TKVWZZ,29.32
Chris Johnson,KOG3SRP4,32.03
Sophia Smith,3K30KTYV,79.83
Chris Brown,EPSNDVPE,117.31
Alex Brown,UMMFKTC4,67.45
Tom Brown,XDE3QX1I,68.69
Anna Brown,KRVGI6N3,17.32
John Davis,NYNFT7DE,126.23
Chris Miller,DBKKEL8O,26.77
Laura Miller,JC54C1AT,25.78
Alex Smith,FCX9BZJA,98.27
Tom Martinez,7X4505SR,19.12
Anna Williams,T92BSO7Q,86.46
Alex Jones,G21S0IL1,105.89
Laura Wilson,SRW0TWDO,89.64
Tom Jones,JO7LUQLM,18.94
Anna Martinez,EGDEO8LA,101.23
Tom Brown,T18PP8SU,28.4
Jane Johnson,BRWRGSQB,109.39
Alex Brown,E9KTRA8L,132.45
Tom Brown,SQYE53JS,95.66
Anna Brown,5C0BEBI8,80.27
John Miller,4I48BD26,94.2
Sophia Davis,LVQ935RZ,28.4
Tom Brown,ML55CSCR,93.44
Alex Brown,DJNIVZCZ,86.56
Alex Martinez,WO3BGNY1,103.25
Sophia Johnson,NBB19V9L,103.39
Anna Wilson,9ILYKAWU,134.14
Laura Miller,K5GJKI0D,63.83
Chris Wilson,QSRUV6BO,37.84
Alex Miller,CBZV8D4J,22.63
Jane Brown,O89Z01R6,124.55
Emily Wilson,IUBHR4VT,58.21
John Wilson,OIEBXUSA,105.86
Tom Smith,TM5W8DFM,79.35
Tom Garcia,EVTY8NJH,79.18
Mike Davis,7KJXQZ1X,92.35
Chris Brown,8W4EPXQT,34.46
Anna Miller,JI9PNKJM,48.14
Sophia Jones,Q16PD3LZ,27.85
Jane Smith,342YIBUC,57.53
Tom Jones,PQ8JCJLA,74.69
John Wilson,CM37VGR8,82.34
Mike Garcia,QF1BECLY,44.01
Laura Jones,6O2MK6I6,38.91
Anna Jones,D077UCHI,91.51
Laura Jones,E9BD8ZP9,95.67
John Miller,SH7JUCJE,74.07
Emily Garcia,7GATHJLJ,25.82
Anna Garcia,IGRAY96W,112.38
Mike Brown,7560UW0A,104.62
Jane Smith,5P8B7EEE,55.32
Mike Miller,Y5W3JUPG,121.04
John Williams,KWY0OG84,35.6
Sophia Jones,HJ847OOJ,78.73
Sophia Miller,NJJU8ZPK,81.01
Emily Miller,U0SFFUGE,119.13
Sophia Jones,CQQ69H1T,120.35
Emily Martinez,3MHK4IC5,51.97
Mike Martinez,X6DQE7FV,48.17
Chris Williams,572SM6II,90.2
Laura Martinez,0AYYKY8H,61.91
John Miller,ZCT23SF9,118.31
Anna Wilson,I2LABH0U,45.13
John Wilson,S4XZANHQ,134.6
Jane Garcia,I0CAJC26,13.5
Mike Smith,UU1MNDU7,46.03
Jane Brown,6LRWPOMX,88.65
Jane Johnson,ESJVXA0E,112.85
Anna Martinez,70N3U4KT,117.05
Mike Miller,7ZEXPO42,130.91
Emily Garcia,NV31QLFF,33.82
John Williams,SMC9EI2P,95.47
Jane Johnson,LOM9S33P,19.63
Alex Wilson,C7MLXY9V,103.08
Jane Martinez,94ACRBY5,65.36
Mike Johnson,C1DIP4OW,35.46
Chris Garcia,FJZXG75Q,117.72
Laura Garcia,U7MS4LSB,79.37
Anna Williams,ZVGX3MTZ,51.09
John Miller,RKYAOJVH,50.79
Chris Johnson,C88QYO27,38.85
Jane Garcia,97JGEWB3,88.29
Mike Garcia,EQIJHLYC,120.58
John Brown,IJMURVBS,58.47
Laura Davis,VHQY2V9P,28.98
John Williams,URWL3O1X,16.92
Jane Martinez,8H48H10B,57.94
Anna Smith,FXGRU6NQ,20.42
Emily Jones,OTS5GIYJ,43.85
John Jones,YI00TV95,91.4
John Williams,B6P0MRRA,78.7
Anna Jones,E7ZOLF4T,61.35
Sophia Williams,HDBGJPKN,40.82
Mike Brown,R9YD4NK6,73.22
Sophia Johnson,W3DJHZHW,30.05
Anna Davis,8GLG3CH3,32.65
Sophia Brown,C3I6PZNX,13.4
Emily Williams,ZDYA5I10,97.41
Sophia Garcia,SSR6N9YI,98.5
Sophia Johnson,49YZ6G5X,129.73
Anna Williams,NXBIGP5U,33.76
Sophia Brown,AXQ8ES4B,112.31
Mike Martinez,W2WW99NS,82.85
Jane Smith,FMNV0HH2,127.66
Tom Garcia,5A096JR2,75.8
Emily Garcia,7QVLI1IO,119.27
Tom Johnson,4RZM04EJ,36.63
Anna Johnson,JA5Z6E5Z,59.02
Anna Wilson,2NSXA6GP,125.75
Alex Miller,69VF9NXQ,65.07
Jane Johnson,UH8PAM4C,96.65
Anna Davis,RB0BH0HB,78.66
Chris Johnson,WVNW1IV1,106.49
John Martinez,98Y5L04J,133.1
Jane Brown,YTAKF78F,104.36
Chris Wilson,I57QCG1E,39.79
Laura Brown,0TZE6N6T,62.64
Sophia Garcia,K0BOUOGT,78.55
Chris Smith,V159RX14,115.27
Alex Jones,2021S1M4,38.36
John Williams,JUN4ZV7B,108.59
John Jones,Y56EQ4IB,41.53
Alex Martinez,E6RETZL5,84.49
Tom Brown,MI6GJ6W7,72.75
Chris Jones,P5NB86JG,105.11
Laura Garcia,3VGVD7TJ,41.11
Chris Garcia,VIFRCB3B,29.3
Jane Miller,57PT59NK,73.27
Emily Brown,XDXSLTTA,126.56
Tom Miller,5K2LLTB4,109.92
Laura Wilson,QU9HSR08,58.21
Chris Williams,2ND4M25S,57.0
John Jones,DKIOB7K2,105.48
Sophia Miller,W3LNUJO1,23.89
Anna Miller,HHIZT16O,133.59
Emily Jones,1FT0MBLQ,52.09
Anna Jones,VNFRAFZG,44.01
Alex Martinez,I3B54XYO,109.1
Jane Miller,2NOC91SR,52.7
John Miller,G519HGPJ,27.15
Alex Jones,VX701PAK,43.34
Alex Martinez,28ZOJZZV,68.6
Tom Martinez,3C9379CT,102.38
John Martinez,JNCRXYQ0,109.87
Mike Wilson,7T7A4TEB,41.35
Sophia Johnson,CDVHLOC0,116.8
Mike Jones,NGSV808T,110.07
Alex Garcia,KJEVUZNS,90.14
John Garcia,VVGRGLUM,52.91
Sophia Wilson,PEO50Q1C,65.84
John Johnson,RAY41PM6,37.23
Mike Martinez,LH9CS6D1,79.79
John Wilson,QXTC84VW,46.47
Jane Martinez,RC3FFW5E,47.41
Chris Williams,2FDSWNR8,72.28
Anna Williams,QZR8XPIE,67.01
Sophia Martinez,P9OFA99O,55.34
Chris Wilson,6R2QQ4U0,81.93
Laura Williams,R2ZR4K70,26.12
John Williams,LEZB8KF7,62.32
Jane Davis,X62L68CQ,45.68
Emily Miller,N5IVRKXL,34.72
Tom Martinez,N4TUSBNC,104.59
Alex Smith,42AGE3JX,93.38
Jane Martinez,3OGZI9KQ,102.47
Tom Miller,6WMQU6E6,16.18
Jane Williams,T3SGRMFZ,47.34
Alex Martinez,MMF9G0UK,133.01
Tom Johnson,HOCTLNRT,19.4
Emily Wilson,90AYMGSW,72.27
Laura Martinez,7EZQY174,78.33
Emily Smith,C4UE0JL2,89.63
Alex Martinez,PJ0VEOU7,68.48
Jane Miller,R4BKZDUZ,114.64
John Martinez,OD8E4XYS,22.92
Tom Garcia,ZSY9D28L,119.37
Jane Williams,9RACR7ZV,115.77
Alex Johnson,EJ2AU9RI,17.81
