ID,First,Last,Prefix,Gender,Birth Date,Activation Date/Time,Email Address,Country,Phone,Mobile
1,Jennifer,Davis,Mrs.,^^female##,08/06/1970,2021-11-30 00:08:10-08:00[America/Los_Angeles],rebekah.davis@hotmail.com,US,(442)-659-5578,(639)-628-8301
2,Thomas,Cooper,Mr.,@@male!!,10/21/1963,2020-10-10 21:51:07-07:00[America/Los_Angeles],rose.cooper@hotmail.com,US,(692)-080-9178,(229)-793-8940
6,John,Smith,Mr.,@@male!!,02/08/1994,2022-09-20 14:51:47-07:00[America/Los_Angeles],laura.smith@hotmail.com,US,(997)-874-9917,(507)-191-4246
9,Linda,Leblanc,Mrs.,^^female##,08/08/1978,2022-07-18 21:03:26-07:00[America/Los_Angeles],jacqueline.leblanc@gmail.com,US,(366)-115-4390,(926)-542-7927
10,Mark,Mercer,Mr.,@@male!!,04/30/1959,2022-05-01 01:19:25-07:00[America/Los_Angeles],madison.mercer@yahoo.com,US,(080)-607-7251,(857)-301-3101
12,Mark,Perry,Mr.,@@male!!,08/23/1994,2022-11-03 06:38:33-07:00[America/Los_Angeles],mark.perry@gmail.com,US,(758)-918-3697,(907)-979-1104
13,William,Nelson,Mr.,@@male!!,04/13/1961,2022-04-26 09:53:43-07:00[America/Los_Angeles],lindsey.nelson@yahoo.com,US,(325)-520-0842,(082)-989-5876
14,Mark,Clark,Mr.,@@male!!,09/16/1971,2024-10-29 18:18:08-07:00[America/Los_Angeles],ashley.clark@hotmail.com,US,(492)-603-2417,(815)-829-6567
15,Susan,Patterson,Mrs.,^^female##,02/19/1957,2022-10-01 22:07:05-07:00[America/Los_Angeles],jeremy.patterson@gmail.com,US,(190)-958-3756,(842)-479-5777
16,Elizabeth,Whitney,Mrs.,^^female##,05/26/1962,2024-02-14 08:49:19-08:00[America/Los_Angeles],elizabeth.whitney@gmail.com,US,(922)-704-9337,(089)-611-7593
17,Susan,Hopkins,Mrs.,^^female##,03/07/1971,2022-02-09 17:37:50-08:00[America/Los_Angeles],kristen.hopkins@gmail.com,US,(403)-055-1701,(336)-310-1225
